owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Department of the Treasury,Department of the Treasury,FY2019Q4,011-0072,"Contribution to the Inter-American Development Bank, Funds Appropriated to the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10347.23,0.00,0.00,0.00,2019-11-14
Department of the Treasury,Department of the Treasury,FY2019Q4,011-0091,"Debt Restructuring, Funds Appropriated to the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,200000.00,-200000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2019-11-14
Peace Corps,Peace Corps,FY2019Q4,011-0100,"Peace Corps, Funds Appropriated to the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,68434531.79,14482585.77,410400775.29,0.00,0.00,7667470.94,7667470.94,500985363.79,446518398.04,16822315.88,54466965.75,426591966.60,500985363.79,2019-11-14
Peace Corps,Peace Corps,FY2019Q4,011-0101,"Foreign Currency Fluctuations, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,4900775.29,0.00,99224.71,0.00,0.00,0.00,0.00,5000000.00,0.00,0.00,5000000.00,0.00,5000000.00,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-0108,"Presidential Transition Administrative Support, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,705845.36,13140.00,0.00,0.00,0.00,0.00,0.00,718985.36,10.31,13140.00,718975.05,21661.39,718985.36,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-0110,"Salaries and Expenses, the White House, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,3614009.30,1869233.51,55000000.00,0.00,0.00,4113198.19,4113198.19,64596441.00,60743775.65,2057526.73,3852665.35,55917499.60,64596441.00,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-0211,"Operating Expenses, Official Residence of the Vice President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,368262.68,-47386.00,302000.00,0.00,0.00,0.00,0.00,622876.68,213586.30,4113.28,409290.38,188490.21,622876.68,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-0300,"Salaries and Expenses, Office of Management and Budget, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,941923.36,2941760.57,103000000.00,0.00,0.00,2685558.06,2685558.06,109569241.99,108797165.19,3336006.24,772076.80,103077458.27,109569241.99,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-0400,"Salaries and Expenses, Office of the United States Trade Representative, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,17097150.66,4510612.26,53000000.00,0.00,0.00,558981.21,558981.21,75166744.13,60450848.65,4914846.71,14715895.48,54185320.44,75166744.13,2019-11-14
United States Trade and Development Agency,United States Trade and Development Agency,FY2019Q4,011-1001,"Trade and Development Agency, Funds Appropriated to the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,24026029.75,10608722.78,79500000.00,0.00,0.00,4618864.23,4618864.23,118753616.76,74362835.27,12944847.78,44390781.49,60071258.20,118753616.76,2019-11-21
Department of the Treasury,Department of the Treasury,FY2019Q4,011-1008,"Contribution to the North American Development Bank, Funds Appropriated to the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,10000000.00,0.00,0.00,0.00,0.00,0.00,0.00,10000000.00,0.00,0.00,10000000.00,0.00,10000000.00,2019-11-14
Department of State,Department of State,FY2019Q4,011-1022,"International Narcotics Control and Law Enforcement, International Security Assistance, State",Executive Office of the President,International Affairs,International development and humanitarian assistance,1346626018.52,143060998.64,1485049000.00,0.00,0.00,23048119.98,23048119.98,2997784137.14,1440307702.75,212341225.25,1557476434.39,1246949408.65,2997784137.14,2019-11-15
Department of State,Department of State,FY2019Q4,011-1032,"Peacekeeping Operations, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,324367914.46,-23413639.03,488670000.00,0.00,0.00,9192258.38,9192258.38,798816533.81,510107335.76,51315681.26,288709198.05,460754360.72,798816533.81,2019-11-15
Department of State,Department of Defense;Department of State,FY2019Q4,011-1041,"Global Security Contingency Fund, State",Executive Office of the President,International Affairs,International security assistance,34039288.84,67162.98,0.00,0.00,0.00,0.00,0.00,34106451.82,4327194.75,67162.98,29779257.07,4026793.17,34106451.82,2020-01-17
Department of the Treasury,Department of the Treasury,FY2019Q4,011-1045,"International Affairs Technical Assistance, Executive Office of the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,617573.64,-359317.81,0.00,0.00,0.00,0.00,0.00,258255.83,258255.83,37261.61,0.00,307255.17,258255.83,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-1070,"High Intensity Drug Trafficking Areas Program, Funds Appropriated to the President",Executive Office of the President,Administration of Justice,Criminal justice assistance,44550315.03,2357319.77,258630890.00,0.00,0.00,0.00,0.00,305538524.80,289639702.65,4181420.23,15898822.15,245303825.37,305538524.80,2019-11-14
Department of State,Department of State,FY2019Q4,011-1071,"Nonproliferation and Disarmament Fund, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,35391.19,0.00,0.00,0.00,0.00,0.00,0.00,35391.19,18000.00,0.00,17391.19,171290.61,35391.19,2019-11-15
Department of State,Department of State,FY2019Q4,011-1075,"Non-Proliferation, Anti-Terrorism, Demining and Related Programs, International Security Assistance, State",Executive Office of the President,International Affairs,International security assistance,1059976009.05,77668362.23,864550000.00,0.00,0.00,45513517.01,45513517.01,2047707888.29,991198502.89,83086547.22,1056509385.40,824974960.23,2047707888.29,2019-11-15
Department of Defense,Department of Defense,FY2019Q4,011-1081,"International Military Education and Training, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,50011743.68,21385411.54,110778000.00,0.00,0.00,0.00,0.00,182175155.22,135736925.60,27518413.47,46438229.62,98098215.68,182175155.22,2020-01-17
Department of Defense,Department of Defense;Department of State,FY2019Q4,011-1082,"Foreign Military Financing Program, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,719642711.57,922260617.94,6191613000.00,0.00,0.00,0.00,0.00,7833516329.51,7341566940.93,931118805.18,491949388.58,5648305736.42,7833516329.51,2020-01-17
Department of State,Department of State,FY2019Q4,011-1083,"Pakistan Counterinsurgency Capability Fund, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,0.00,2121973.85,0.00,0.00,0.00,0.00,0.00,2121973.85,0.00,2121973.85,2121973.85,0.00,2121973.85,2019-11-15
Department of Defense,Department of Defense,FY2019Q4,011-1085,"Foreign Military Financing, Direct Loan Program Account, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56289411.91,0.00,84156154.81,0.00,2020-01-17
Executive Office of the President,Executive Office of the President,FY2019Q4,011-1453,"Council on Environmental Quality and Office of Environmental Quality, Executive",Executive Office of the President,General Government,Executive direction and management,823298.45,205054.18,2994000.00,0.00,0.00,0.00,0.00,4022352.63,2995047.83,247544.53,1027304.80,2842476.18,4022352.63,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-1454,"Salaries and Expenses, Special Assistance to the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,1418526.45,69283.89,4288000.00,0.00,0.00,515200.00,515200.00,6291010.34,5002275.49,312348.10,1288734.85,4678594.03,6291010.34,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-1457,"Salaries and Expenses, Office of National Drug Control Policy, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,2741533.49,61156.84,18400000.00,0.00,0.00,4500000.00,4500000.00,25702690.33,22347277.09,794798.47,3355413.24,19773785.11,25702690.33,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-1460,"Other Federal Drug Control Programs, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,16482042.83,3013050.84,118327000.00,0.00,0.00,0.00,0.00,137822093.67,90679280.85,3013050.84,47142812.82,86667277.42,137822093.67,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-1461,"Counterdrug Technology Assessment Center, Office of National Drug Control Policy, Executive Office of the President",Executive Office of the President,Administration of Justice,Criminal justice assistance,270060.59,0.00,0.00,0.00,0.00,0.00,0.00,270060.59,0.00,0.00,270060.59,15832.68,270060.59,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-1750,"General Fund Payment to the Trade Enforcement Trust Fund, Office of the U.S. Trade Representative, Executive Office of the President",Executive Office of the President,Commerce and Housing Credit,Other advancement of commerce,0.00,0.00,15000000.00,0.00,0.00,0.00,0.00,15000000.00,15000000.00,0.00,0.00,15000000.00,15000000.00,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-1900,"Salaries and Expenses, Council of Economic Advisers, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,636826.14,34868.63,4187000.00,0.00,0.00,100000.00,100000.00,4958694.77,4055331.40,144181.55,903363.37,4176542.68,4958694.77,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-2000,"Salaries and Expenses, National Security Council, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,1141110.23,415587.71,12000000.00,0.00,0.00,759818.57,759818.57,14316516.51,12872279.56,671222.60,1444236.95,12271956.84,14316516.51,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-2600,"Office of Science and Technology Policy, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,3119592.45,118983.79,5544000.00,0.00,0.00,0.00,0.00,8782576.24,5269197.72,296205.73,3513378.52,4866476.09,8782576.24,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-3963,"Office of Environmental Quality Management Fund, Council on Environmental Quality and Office of Environmental Quality, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,102665.12,380.60,0.00,0.00,0.00,0.00,0.00,103045.72,5640.87,380.60,97404.85,4193.81,103045.72,2019-11-14
Department of Defense,Department of Defense,FY2019Q4,011-4116,"Special Defense Acquisition Fund, Funds Appropriated to the President",Executive Office of the President,International Affairs,International financial programs,623973044.87,68751034.18,0.00,0.00,0.00,2397729.31,2397729.31,695121808.36,329662154.71,92322369.18,365459653.65,263829206.41,695121808.36,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,011-4121,"Foreign Military Loan Liquidating Account, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2020-01-17
Peace Corps,Peace Corps,FY2019Q4,011-5395,"Host Country Resident Contractors Separation Liability Fund, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,0.00,0.00,2700000.00,0.00,0.00,0.00,0.00,2700000.00,2700000.00,0.00,0.00,6287780.55,2700000.00,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-5512,"Spectrum Relocation Fund, Executive Office of the President",Executive Office of the President,Commerce and Housing Credit,Other advancement of commerce,0.00,0.00,24695938.00,0.00,0.00,0.00,0.00,24695938.00,24695938.00,0.00,0.00,24695938.00,24695938.00,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-8240,"Gifts and Donations, the White House Conference on Drug Abuse and Control, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,50302.15,0.00,0.00,0.00,0.00,0.00,0.00,50302.15,1359.78,0.00,48942.37,1359.78,50302.15,2019-11-14
Department of Defense,Department of Defense,FY2019Q4,011-8242,"Advances, Foreign Military Sales, Funds Appropriated to the President",Executive Office of the President,International Affairs,International financial programs,0.00,11000000.00,-11000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2020-01-17
Peace Corps,Peace Corps,FY2019Q4,011-8245,"Gifts and Contributions, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,2441503.37,151717.28,1554758.43,0.00,0.00,0.00,0.00,4147979.08,2045758.80,151717.28,2102220.28,1927558.49,4147979.08,2019-11-14
Peace Corps,Peace Corps,FY2019Q4,011-8246,"Advances from Foreign Governments, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2019-11-14
Peace Corps,Peace Corps,FY2019Q4,011-8345,"Foreign Service National Separation Liability Trust Fund, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,985974.63,0.00,0.00,0.00,0.00,0.00,0.00,985974.63,143598.79,0.00,842375.84,192640.95,985974.63,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-8581,"Trade Enforcement Trust Fund, Office of the U.S. Trade Representative, Executive Office of the President",Executive Office of the President,Commerce and Housing Credit,Other advancement of commerce,6744934.68,347223.57,15000000.00,0.00,0.00,0.00,0.00,22092158.25,15085766.46,347223.57,7006391.79,9184766.46,22092158.25,2019-11-14
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0013,"Expenses, Office of the Chief Information Officer, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,2473915.28,-448281.35,55455000.00,0.00,0.00,31336775.93,31336775.93,88817409.86,85090620.71,366128.84,3726789.15,84240665.62,88817409.86,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0014,"Expenses, Office of the Chief Financial Officer, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,831563.67,-357024.76,5878000.00,0.00,0.00,0.00,0.00,6352538.91,5926410.75,122665.63,426128.16,6071893.22,6352538.91,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0015,"Healthy Foods Financing Initiative, Rural Business-Cooperative Service, Agriculture",Department of Agriculture,Community and Regional Development,Community development,0.00,0.00,2000000.00,0.00,0.00,0.00,0.00,2000000.00,0.00,0.00,2000000.00,123835.06,2000000.00,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0115,"Processing, Research and Marketing, Office of the Secretary, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1999759319.74,61893.43,3063455000.00,0.00,0.00,53391372.04,53391372.04,5116667585.21,1052057988.87,2931240.61,4064609596.34,554477789.02,5116667585.21,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0117,"Agriculture Buildings and Facilities, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,53086770.69,1224375.92,59967000.00,0.00,0.00,5298168.01,5298168.01,119576314.62,78768795.62,1224375.92,40807519.00,73518971.45,119576314.62,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0123,"Office of the Chief Economist, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,2175703.23,-391652.02,21286000.00,0.00,0.00,1191763.82,1191763.82,24261815.03,22637475.33,543251.65,1624339.70,23262297.76,24261815.03,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0124,"Office of the Under Secretary for Research, Education and Economics, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,544126.70,-154.89,700000.00,0.00,0.00,3254636.99,3254636.99,4498608.80,2907429.78,20530.10,1591179.02,2606637.07,4498608.80,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0125,"Office of the Under Secretary for Marketing and Regulatory Programs, Cooperative State Research, Education, and Extension Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,244615.52,-46148.15,856000.00,0.00,0.00,186388.25,186388.25,1240855.62,944606.91,11091.58,296248.71,1107598.46,1240855.62,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0126,"Office of the Under Secretary for Farm and Foreign Agricultural Services, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,302912.44,-29662.34,801000.00,0.00,0.00,0.00,0.00,1074250.10,730581.92,5916.21,343668.18,708560.75,1074250.10,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0127,"Office of the Under Secretary for Rural Development, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,124152.93,-37243.64,0.00,0.00,0.00,-12834.99,-12834.99,74074.30,0.00,19853.80,74074.30,876.13,74074.30,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0128,"Office of the Assistant Secretary for Natural Resources and Environment, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,262534.13,-36519.89,668000.00,0.00,0.00,-2913.50,-2913.50,891100.74,607164.24,13046.79,283936.50,579863.36,891100.74,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0129,"Office of the Under Secretary for Food, Nutrition and Consumer Services, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,495379.82,-51801.15,500000.00,0.00,0.00,-93765.43,-93765.43,849813.24,444174.31,8075.09,405638.93,596770.02,849813.24,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0130,"Office of the Assistant Secretary for Civil Rights, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,396708.87,-41602.13,701000.00,0.00,0.00,0.00,0.00,1056106.74,606907.72,80103.51,449199.02,581374.57,1056106.74,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0136,"Office of Ethics, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1747238.02,62671.88,3836000.00,0.00,0.00,682317.00,682317.00,6328226.90,4371642.91,156996.09,1956583.99,4803991.34,6328226.90,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0137,"Rental Assistance Program, Rural Housing Service, Agriculture",Department of Agriculture,Income Security,Housing assistance,50631100.80,1159992.42,1331400000.00,0.00,0.00,0.00,0.00,1383191093.22,1331402490.19,1159992.42,51788603.03,1193249981.31,1383191093.22,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0170,"State Mediation Grants, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,537209.61,-361616.80,3904000.00,0.00,0.00,0.00,0.00,4079592.81,3903999.98,0.00,175592.83,3962782.74,4079592.81,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0171,"Emergency Forest Restoration Program, Farm Service Agency, Agriculture",Department of Agriculture,Community and Regional Development,Disaster relief and insurance,52951273.95,1485355.00,480000000.00,0.00,0.00,0.00,0.00,534436628.95,1836773.18,1485355.00,532599855.77,1139528.25,534436628.95,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0176,"Office of the Under Secretary for Trade and Foreign Agricultural Affairs, Office of the Secretary, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,106199.49,0.00,875000.00,0.00,0.00,0.00,0.00,981199.49,826253.25,0.00,154946.24,799059.64,981199.49,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0177,"Office of Codex Alimentarius, Office of the Secretary, Agriculture",Department of Agriculture,Health,Consumer and occupational health and safety,134376.90,9292.39,3976000.00,0.00,0.00,0.00,0.00,4119669.29,3686990.37,9292.39,432678.92,2920670.87,4119669.29,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0180,"Farm Production and Conservation Business Center, Farm Production and Conservation Programs, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,177679.76,137099.49,262438494.00,0.00,0.00,20353409.57,20353409.57,283106682.82,277865612.99,137099.49,5241069.83,193222429.97,283106682.82,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0215,"Payment to Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,0.00,0.00,4250000.00,0.00,0.00,0.00,0.00,4250000.00,4250000.00,0.00,0.00,4250000.00,4250000.00,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0403,"Salaries and Expenses, Rural Development, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,33133435.36,1471907.70,239975000.00,0.00,0.00,486778734.91,486778734.91,761359077.97,730453448.08,8979424.64,30905629.89,695479185.76,761359077.97,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0405,"Rural Development Disaster Assistance Fund, Rural Development, Agriculture",Department of Agriculture,Community and Regional Development,Disaster relief and insurance,11105414.77,0.00,0.00,0.00,0.00,0.00,0.00,11105414.77,0.00,0.00,11105414.77,0.00,11105414.77,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0500,"Hazardous Materials Management, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,366957.86,12010816.74,3503000.00,0.00,0.00,0.00,0.00,15880774.60,10367341.50,12010816.74,5513433.10,4353535.93,15880774.60,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0502,"Extension Activities, National Institute of Food and Agriculture, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,41888104.56,3744500.17,580100000.00,0.00,0.00,15637036.32,15637036.32,641369641.05,590368283.48,7146717.26,51001357.57,549693962.29,641369641.05,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0503,"Office of Budget and Program Analysis, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,4507008.06,-333126.14,9525000.00,0.00,0.00,0.00,0.00,13698881.92,9470235.19,67757.13,4228646.73,8915700.66,13698881.92,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0600,"Salaries and Expenses, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,117934366.17,-10001599.17,1083624333.00,0.00,0.00,308005406.46,308005406.46,1499562506.46,1387427696.07,8221266.09,112134810.39,1436805297.75,1499562506.46,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0601,"Outreach for Socially Disadvantaged Farmers, Office of the Secretary, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1014271.79,0.00,0.00,0.00,0.00,0.00,0.00,1014271.79,0.00,0.00,1014271.79,0.00,1014271.79,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0706,"Office of Hearings and Appeals Division, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1177357.10,-61457.43,15222000.00,0.00,0.00,-9967.75,-9967.75,16327931.92,14991736.59,199310.73,1336195.33,13901181.11,16327931.92,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-0900,"Office of the Inspector General, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,21421774.50,-5589948.04,98208000.00,0.00,0.00,3169317.80,3169317.80,117209144.26,99987211.12,529973.45,17221933.14,98439025.54,117209144.26,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-1000,"Conservation Operations, Natural Resources Conservation Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,260598103.21,11780109.33,824189199.00,0.00,0.00,19064437.17,19064437.17,1115631848.71,872597150.16,25244691.02,243034698.55,756270896.70,1115631848.71,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-1002,"Watershed Rehabilitation Program, Natural Resources Conservation Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Water resources,39680002.34,46719574.39,10000000.00,0.00,0.00,5356851.97,5356851.97,101756428.70,32084549.57,47652667.56,69671879.13,37861424.85,101756428.70,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-1003,"Biomass Research and Development, National Institute of Food and Agriculture, Agriculture",Department of Agriculture,Energy,Energy supply,3684705.58,1172296.50,0.00,0.00,0.00,0.00,0.00,4857002.08,1717612.68,1172296.50,3139389.40,2431143.54,4857002.08,2019-11-13
Department of Agriculture,Department of Agriculture,FY2019Q4,012-1004,"Farm Security and Rural Investment Programs, Natural Resources Conservation Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,4097951602.34,298788150.90,3961110532.00,0.00,0.00,17700854.69,17700854.69,8375551139.93,3820793000.95,298788150.90,4554758138.98,3095207150.77,8375551139.93,2019-11-13
