owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Peace Corps,Peace Corps,FY2021P12,011-0100,"Peace Corps, Funds Appropriated to the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,96043085.41,18819531.99,380500000.00,0.00,0.00,7306254.68,7306254.68,502668872.08,379188030.41,25451181.41,123480841.67,356792902.10,502668872.08,2021-11-15
Peace Corps,Peace Corps,FY2021P12,011-0101,"Foreign Currency Fluctuations, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,5000000.00,0.00,0.00,0.00,0.00,0.00,0.00,5000000.00,0.00,0.00,5000000.00,0.00,5000000.00,2021-11-15
Executive Office of the President,Executive Office of the President,FY2021P12,011-0108,"Presidential Transition Administrative Support, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,842372.91,0.00,4520000.00,0.00,0.00,0.00,0.00,5362372.91,4557098.04,0.00,805274.87,4462023.19,5362372.91,2021-11-10
Executive Office of the President,Executive Office of the President,FY2021P12,011-0110,"Salaries and Expenses, the White House, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,5056220.90,2424415.32,70860000.00,0.00,0.00,1540136.71,1540136.71,79880772.93,74312104.37,3119187.66,5568668.56,64614256.39,79880772.93,2021-11-10
Executive Office of the President,Executive Office of the President,FY2021P12,011-0211,"Operating Expenses, Official Residence of the Vice President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,410288.91,-77451.98,302000.00,0.00,0.00,0.00,0.00,634836.93,279971.80,4524.12,354865.13,195015.62,634836.93,2021-11-10
Executive Office of the President,Executive Office of the President,FY2021P12,011-0300,"Salaries and Expenses, Office of Management and Budget, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,2327527.49,4358436.19,106600000.00,0.00,0.00,1270341.60,1270341.60,114556305.28,111963037.54,4782643.91,2593267.74,107296872.20,114556305.28,2021-11-10
Executive Office of the President,Executive Office of the President,FY2021P12,011-0400,"Salaries and Expenses, Office of the United States Trade Representative, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,59639665.54,3577543.20,55000000.00,0.00,0.00,538883.00,538883.00,118756091.74,67576238.58,3919739.52,51179853.16,56652037.19,118756091.74,2021-11-10
United States Trade and Development Agency,United States Trade and Development Agency,FY2021Q4,011-1001,"Trade and Development Agency, Funds Appropriated to the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,73982373.67,14347608.03,79500000.00,0.00,0.00,3178170.88,3178170.88,171008152.58,88639923.64,23232566.80,82368228.94,61971389.42,171008152.58,2021-11-15
Department of the Treasury,Department of the Treasury,FY2021P12,011-1008,"Contribution to the North American Development Bank, Funds Appropriated to the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of State,Department of State,FY2021P12,011-1022,"International Narcotics Control and Law Enforcement, International Security Assistance, State",Executive Office of the President,International Affairs,International development and humanitarian assistance,1444701789.38,40037247.18,1335162000.00,0.00,0.00,26759523.04,26759523.04,2846660559.60,1471355485.61,135177894.88,1375305073.99,1274003250.28,2846660559.60,2021-12-09
Department of State,Department of State,FY2021P12,011-1032,"Peacekeeping Operations, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,282040419.94,50479861.94,400759000.00,0.00,0.00,2934272.30,2934272.30,736213554.18,502538435.62,52038706.46,233675118.56,474443117.25,736213554.18,2021-12-09
Department of State,Department of Defense;Department of State,FY2021P12,011-1041,"Global Security Contingency Fund, State",Executive Office of the President,International Affairs,International security assistance,28613392.38,0.00,0.00,0.00,0.00,0.00,0.00,28613392.38,2658340.02,0.00,25955052.36,3758121.16,28613392.38,2022-01-19
Executive Office of the President,Executive Office of the President,FY2021P12,011-1070,"High Intensity Drug Trafficking Areas Program, Funds Appropriated to the President",Executive Office of the President,Administration of Justice,Criminal justice assistance,5997182.26,9297694.70,267813760.00,0.00,0.00,0.00,0.00,283108636.96,280738187.80,10259923.90,2370449.16,251578330.25,283108636.96,2021-11-10
Department of State,Department of State,FY2021P12,011-1071,"Nonproliferation and Disarmament Fund, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,28302.73,0.00,0.00,0.00,0.00,0.00,0.00,28302.73,28000.00,0.00,302.73,7264.83,28302.73,2021-12-09
Department of State,Department of State,FY2021P12,011-1075,"Non-Proliferation, Anti-Terrorism, Demining and Related Programs, International Security Assistance, State",Executive Office of the President,International Affairs,International security assistance,1109000073.60,47068192.06,889247000.00,0.00,0.00,47622375.82,47622375.82,2092937641.48,1018683231.67,89184978.36,1074254409.81,814485065.89,2092937641.48,2021-12-09
Department of Defense,Department of Defense,FY2021P12,011-1081,"International Military Education and Training, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,77652082.64,38028554.98,111313267.00,0.00,0.00,1616740.11,1616740.11,228610644.73,140595478.55,40356594.88,88015166.18,87948861.17,228610644.73,2022-01-19
Department of Defense,Department of Defense;Department of State,FY2021P12,011-1082,"Foreign Military Financing Program, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,1774545000.45,214523064.07,6150524000.00,0.00,0.00,0.00,0.00,8139592064.52,6446153570.37,246410414.25,1693438494.15,5068684341.91,8139592064.52,2022-01-19
Department of State,Department of State,FY2021P12,011-1083,"Pakistan Counterinsurgency Capability Fund, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-12-09
Executive Office of the President,Executive Office of the President,FY2021P12,011-1453,"Council on Environmental Quality and Office of Environmental Quality, Executive",Executive Office of the President,General Government,Executive direction and management,1195535.36,90580.71,3500000.00,0.00,0.00,0.00,0.00,4786116.07,3473303.40,110372.03,1312812.67,3265156.19,4786116.07,2021-11-10
Executive Office of the President,Executive Office of the President,FY2021P12,011-1454,"Salaries and Expenses, Special Assistance to the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,1664037.96,70784.21,4698000.00,0.00,0.00,931820.13,931820.13,7364642.30,5667170.25,343790.20,1697472.05,5192899.54,7364642.30,2021-11-10
Executive Office of the President,Executive Office of the President,FY2021P12,011-1457,"Salaries and Expenses, Office of National Drug Control Policy, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,2093528.28,466945.45,18400000.00,0.00,0.00,3034267.51,3034267.51,23994741.24,21769879.61,966443.46,2224861.63,20205735.62,23994741.24,2021-11-10
Executive Office of the President,Executive Office of the President,FY2021P12,011-1460,"Other Federal Drug Control Programs, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,80048415.26,3930496.05,128182000.00,0.00,0.00,0.00,0.00,212160911.31,159208571.14,3930496.05,52952340.17,156621248.62,212160911.31,2021-11-10
Executive Office of the President,Executive Office of the President,FY2021P12,011-1461,"Counterdrug Technology Assessment Center, Office of National Drug Control Policy, Executive Office of the President",Executive Office of the President,Administration of Justice,Criminal justice assistance,270060.59,398245.24,0.00,0.00,0.00,0.00,0.00,668305.83,599122.62,398245.24,69183.21,0.00,668305.83,2021-11-10
Executive Office of the President,Executive Office of the President,FY2021P12,011-1750,"General Fund Payment to the Trade Enforcement Trust Fund, Office of the U.S. Trade Representative, Executive Office of the President",Executive Office of the President,Commerce and Housing Credit,Other advancement of commerce,0.00,0.00,15000000.00,0.00,0.00,0.00,0.00,15000000.00,13973826.63,0.00,1026173.37,13973826.63,15000000.00,2021-11-10
Executive Office of the President,Executive Office of the President,FY2021P12,011-1751,"Intellectual Property Enforcement Coordinator, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,324488.74,47061.86,1800000.00,0.00,0.00,0.00,0.00,2171550.60,861083.61,47061.86,1310466.99,816256.46,2171550.60,2021-11-10
Executive Office of the President,Executive Office of the President,FY2021P12,011-1800,"Salaries and Expenses, Office of the National Cyber Director, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,0.00,24906.29,0.00,0.00,0.00,0.00,0.00,24906.29,17471.44,24906.29,7434.85,0.00,24906.29,2021-11-10
Executive Office of the President,Executive Office of the President,FY2021P12,011-1900,"Salaries and Expenses, Council of Economic Advisers, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,982279.18,119369.81,4000000.00,0.00,0.00,0.00,0.00,5101648.99,3651275.25,152590.87,1450373.74,3654530.62,5101648.99,2021-11-10
Executive Office of the President,Executive Office of the President,FY2021P12,011-2000,"Salaries and Expenses, National Security Council, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,3363295.90,613768.73,12150000.00,0.00,0.00,500063.34,500063.34,16627127.97,12568121.65,666006.82,4059006.32,12274685.17,16627127.97,2021-11-10
Executive Office of the President,Executive Office of the President,FY2021P12,011-2600,"Office of Science and Technology Policy, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,3809477.98,-166898.86,5544000.00,0.00,0.00,180000.00,180000.00,9366579.12,5417623.35,302691.61,3948955.77,4879609.30,9366579.12,2021-11-10
Executive Office of the President,Executive Office of the President,FY2021P12,011-3963,"Office of Environmental Quality Management Fund, Council on Environmental Quality and Office of Environmental Quality, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,473774.53,0.00,0.00,0.00,0.00,450000.00,450000.00,923774.53,459318.00,0.00,464456.53,440465.24,923774.53,2021-11-10
Department of Defense,Department of Defense,FY2021P12,011-4116,"Special Defense Acquisition Fund, Funds Appropriated to the President",Executive Office of the President,International Affairs,International financial programs,440443137.40,192623205.29,0.00,0.00,0.00,113325779.34,113325779.34,746392122.03,321552721.82,192623205.29,424839400.21,175688261.70,746392122.03,2022-01-19
Department of Defense,Department of Defense,FY2021P12,011-4121,"Foreign Military Loan Liquidating Account, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2022-01-19
Peace Corps,Peace Corps,FY2021P12,011-5395,"Host Country Resident Contractors Separation Liability Fund, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,219832.61,0.00,8983000.00,0.00,0.00,0.00,0.00,9202832.61,9202832.61,0.00,0.00,5682554.40,9202832.61,2021-11-15
Executive Office of the President,Executive Office of the President,FY2021P12,011-5512,"Spectrum Relocation Fund, Executive Office of the President",Executive Office of the President,Commerce and Housing Credit,Other advancement of commerce,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-10
Executive Office of the President,Executive Office of the President,FY2021P12,011-8240,"Gifts and Donations, the White House Conference on Drug Abuse and Control, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,36240.37,0.00,0.00,0.00,0.00,0.00,0.00,36240.37,1200.00,0.00,35040.37,10090.00,36240.37,2021-11-10
Department of Defense,Department of Defense,FY2021P12,011-8242,"Advances, Foreign Military Sales, Funds Appropriated to the President",Executive Office of the President,International Affairs,International financial programs,171749264197.29,2426347559.69,5619571525.02,0.00,34385747860.02,0.00,34385747860.02,214180931142.02,37914000699.72,2434745883.69,176266930442.30,34453421819.69,214180931142.02,2022-01-19
Peace Corps,Peace Corps,FY2021P12,011-8245,"Gifts and Contributions, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,2307167.77,68279.46,868850.47,0.00,0.00,0.00,0.00,3244297.70,1808.87,68279.46,3242488.83,0.00,3244297.70,2021-11-15
Peace Corps,Peace Corps,FY2021P12,011-8246,"Advances from Foreign Governments, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Peace Corps,Peace Corps,FY2021P12,011-8345,"Foreign Service National Separation Liability Trust Fund, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,623989.10,0.00,0.00,0.00,0.00,0.00,0.00,623989.10,293780.57,0.00,330208.53,153699.05,623989.10,2021-11-15
Executive Office of the President,Executive Office of the President,FY2021P12,011-8581,"Trade Enforcement Trust Fund, Office of the U.S. Trade Representative, Executive Office of the President",Executive Office of the President,Commerce and Housing Credit,Other advancement of commerce,45270150.15,524184.16,20441823.25,0.00,0.00,0.00,0.00,66236157.56,21906125.60,524184.16,44330031.96,16070819.01,66236157.56,2021-11-10
Department of Agriculture,Department of Agriculture,FY2021P12,012-0013,"Expenses, Office of the Chief Information Officer, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,4106372.44,652839.98,86814000.00,0.00,0.00,53797570.88,53797570.88,145370783.30,121533465.93,913548.73,23837317.37,128243456.97,145370783.30,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0014,"Expenses, Office of the Chief Financial Officer, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,585062.23,-56942.84,6109000.00,0.00,0.00,0.00,0.00,6637119.39,5891136.20,127844.47,745983.19,5810626.41,6637119.39,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0015,"Healthy Foods Financing Initiative, Rural Business-Cooperative Service, Agriculture",Department of Agriculture,Community and Regional Development,Community development,3258750.00,0.00,5000000.00,0.00,0.00,0.00,0.00,8258750.00,4636402.00,0.00,3622348.00,1582654.30,8258750.00,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0113,"Expenses, Common Computing Environment, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,22104.29,0.00,0.00,0.00,0.00,0.00,0.00,22104.29,0.00,0.00,22104.29,0.00,22104.29,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0115,"Processing, Research and Marketing, Office of the Secretary, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,18295090379.35,1429050211.16,16947050499.00,0.00,0.00,64904783.15,64904783.15,36736095872.66,23289276623.74,1430567432.65,13446819248.92,25644125019.38,36736095872.66,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0117,"Agriculture Buildings and Facilities, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,100556730.15,2163734.39,108124000.00,0.00,0.00,10086593.35,10086593.35,220931057.89,59219520.33,2163734.39,161711537.56,69239321.90,220931057.89,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0123,"Office of the Chief Economist, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,2394421.48,19547.78,24692000.00,0.00,0.00,2776262.05,2776262.05,29882231.31,27274167.35,661983.14,2608063.96,23024491.04,29882231.31,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0124,"Office of the Under Secretary for Research, Education and Economics, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,2662659.07,59334.37,1209000.00,0.00,0.00,4058077.06,4058077.06,7989070.50,4915978.96,93660.29,3073091.54,4959441.63,7989070.50,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0125,"Office of the Under Secretary for Marketing and Regulatory Programs, Cooperative State Research, Education, and Extension Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,358603.18,-45452.10,809000.00,0.00,0.00,183249.91,183249.91,1305400.99,954412.44,35509.89,350988.55,696402.54,1305400.99,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0126,"Office of the Under Secretary for Farm and Foreign Agricultural Services, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,330296.52,-116396.12,816000.00,0.00,0.00,0.00,0.00,1029900.40,774245.46,34449.93,255654.94,510280.53,1029900.40,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0127,"Office of the Under Secretary for Rural Development, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,372337.95,-36043.37,737000.00,0.00,0.00,0.00,0.00,1073294.58,826338.53,8020.63,246956.05,757346.15,1073294.58,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0128,"Office of the Assistant Secretary for Natural Resources and Environment, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,280149.15,-48629.06,875000.00,0.00,0.00,0.00,0.00,1106520.09,816734.74,32643.09,289785.35,385864.71,1106520.09,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0129,"Office of the Under Secretary for Food, Nutrition and Consumer Services, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,482807.20,-123335.36,759000.00,0.00,0.00,0.00,0.00,1118471.84,691511.15,32127.15,426960.69,617255.91,1118471.84,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0130,"Office of the Assistant Secretary for Civil Rights, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,471802.05,-153965.93,908000.00,0.00,0.00,0.00,0.00,1225836.12,764955.74,31901.56,460880.38,687179.75,1225836.12,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0133,"Nonrecurring Expenses Fund, Office of the Chief Financial Officer, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,32006049.74,59566909.52,0.00,0.00,0.00,0.00,0.00,91572959.26,16988524.05,831077.75,74584435.21,51548432.23,91572959.26,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0136,"Office of Ethics, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1405660.40,-669311.97,4019000.00,0.00,0.00,712296.73,712296.73,5467645.16,4564608.02,157037.35,903037.14,4409126.60,5467645.16,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0137,"Rental Assistance Program, Rural Housing Service, Agriculture",Department of Agriculture,Income Security,Housing assistance,53559731.89,1375492.01,1510000000.00,0.00,0.00,0.00,0.00,1564935223.90,1510009126.48,1375492.01,54926097.42,1347248246.51,1564935223.90,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0170,"State Mediation Grants, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,209450.93,74362.52,6914000.00,0.00,0.00,0.00,0.00,7197813.45,5162738.79,107404.41,2035074.66,4692888.38,7197813.45,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0171,"Emergency Forest Restoration Program, Farm Service Agency, Agriculture",Department of Agriculture,Community and Regional Development,Disaster relief and insurance,469811073.66,7564889.00,0.00,0.00,0.00,0.00,0.00,477375962.66,60831952.92,7564889.00,416544009.74,5703067.24,477375962.66,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0172,"Assistance for Socially Disadvantaged Farmers and Ranchers, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,0.00,0.00,1960017038.15,0.00,0.00,0.00,0.00,1960017038.15,1960017038.15,0.00,0.00,961308.99,1960017038.15,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0176,"Office of the Under Secretary for Trade and Foreign Agricultural Affairs, Office of the Secretary, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,170699.09,26126.38,687000.00,0.00,0.00,0.00,0.00,883825.47,604352.17,26126.38,279473.30,536641.76,883825.47,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0177,"Office of Codex Alimentarius, Office of the Secretary, Agriculture",Department of Agriculture,Health,Consumer and occupational health and safety,892771.35,196810.28,4805000.00,0.00,0.00,0.00,0.00,5894581.63,4769362.62,196810.28,1125219.01,3667911.04,5894581.63,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0180,"Farm Production and Conservation Business Center, Farm Production and Conservation Programs, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,20472764.07,3787181.95,291530000.00,0.00,0.00,9548837.68,9548837.68,325338783.70,308825179.92,3787181.95,16513603.78,315459296.33,325338783.70,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0215,"Payment to Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,0.00,0.00,2250000.00,0.00,0.00,0.00,0.00,2250000.00,2250000.00,0.00,0.00,2250000.00,2250000.00,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0403,"Salaries and Expenses, Rural Development, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,45116607.91,3202813.39,276276000.00,0.00,0.00,508002560.90,508002560.90,832597982.20,756693988.63,10522746.03,75903993.57,736183903.11,832597982.20,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0405,"Rural Development Disaster Assistance Fund, Rural Development, Agriculture",Department of Agriculture,Community and Regional Development,Disaster relief and insurance,11105414.77,0.00,0.00,0.00,0.00,0.00,0.00,11105414.77,0.00,0.00,11105414.77,0.00,11105414.77,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0470,"Office of Safety, Security, and Protection, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,0.00,0.00,22718001.00,0.00,0.00,4568701.29,4568701.29,27286702.29,24405213.42,0.00,2881488.87,14287851.31,27286702.29,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0500,"Hazardous Materials Management, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,3253727.08,836049.99,6514000.00,0.00,0.00,0.00,0.00,10603777.07,5658982.35,836049.99,4944794.72,7104958.89,10603777.07,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0502,"Extension Activities, National Institute of Food and Agriculture, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,39910583.96,1685157.89,757643500.00,0.00,0.00,29039941.40,29039941.40,828279183.25,779405224.17,10798890.81,48873959.08,546885430.43,828279183.25,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0503,"Office of Budget and Program Analysis, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,2611859.42,-1386784.41,9629000.00,0.00,0.00,745999.56,745999.56,11600074.57,10051026.80,114396.56,1549047.77,10072547.02,11600074.57,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0600,"Salaries and Expenses, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,103684892.56,20039427.35,1142924000.00,0.00,0.00,300806247.54,300806247.54,1567454567.45,1450290122.38,28260426.53,117164445.07,1425241097.54,1567454567.45,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0601,"Outreach for Socially Disadvantaged Farmers, Office of the Secretary, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1014271.79,0.00,0.00,0.00,0.00,0.00,0.00,1014271.79,0.00,0.00,1014271.79,0.00,1014271.79,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0706,"Office of Hearings and Appeals Division, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1979765.24,342158.78,15344000.00,0.00,0.00,0.00,0.00,17665924.02,15393195.69,556657.60,2272728.33,15342464.44,17665924.02,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-0900,"Office of the Inspector General, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,16315120.04,-5142969.49,102412000.00,0.00,0.00,2921625.39,2921625.39,116505775.94,101429158.59,783849.82,15076617.35,97633439.48,116505775.94,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-1000,"Conservation Operations, Natural Resources Conservation Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,230452119.55,22687990.73,832727000.00,0.00,0.00,14578829.05,14578829.05,1100445939.33,865366736.04,27416939.32,235079203.29,836114555.80,1100445939.33,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-1002,"Watershed Rehabilitation Program, Natural Resources Conservation Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Water resources,65434042.42,13782483.34,10000000.00,0.00,0.00,2298978.27,2298978.27,91515504.03,45417235.30,16101623.12,46098268.73,40434291.51,91515504.03,2021-11-15
