owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Peace Corps,Peace Corps,FY2022P12,011-0100,"Peace Corps, Funds Appropriated to the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,123480841.67,26024884.13,340500000.00,0.00,0.00,4852888.19,4852888.19,494858613.99,433817449.36,29221145.75,61041164.63,369675668.08,494858613.99,2022-11-15
Peace Corps,Peace Corps,FY2022P12,011-0101,"Foreign Currency Fluctuations, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,5000000.00,0.00,0.00,0.00,0.00,0.00,0.00,5000000.00,0.00,0.00,5000000.00,0.00,5000000.00,2022-11-15
Executive Office of the President,Executive Office of the President,FY2022P12,011-0108,"Presidential Transition Administrative Support, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,805274.87,-745497.90,0.00,0.00,0.00,0.00,0.00,59776.97,39579.97,328588.85,20197.00,43637.79,59776.97,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-0110,"Salaries and Expenses, the White House, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,5568668.56,3613991.16,65000000.00,0.00,0.00,1826210.42,1826210.42,76008870.14,70627247.02,4608865.72,5381623.12,72658167.95,76008870.14,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-0211,"Operating Expenses, Official Residence of the Vice President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,354865.13,-26730.18,311000.00,0.00,0.00,0.00,0.00,639134.95,269609.42,20643.63,369525.53,292835.06,639134.95,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-0300,"Salaries and Expenses, Office of Management and Budget, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,2593267.74,5315006.88,141000000.00,0.00,0.00,4508647.71,4508647.71,153416922.33,124897765.50,5446797.07,28519156.83,112312081.76,153416922.33,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-0400,"Salaries and Expenses, Office of the United States Trade Representative, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,51179853.16,7104085.64,56000000.00,0.00,0.00,715874.00,715874.00,114999812.80,68448543.70,13164279.66,46551269.10,58394692.10,114999812.80,2022-11-14
United States Trade and Development Agency,United States Trade and Development Agency,FY2022P12,011-1001,"Trade and Development Agency, Funds Appropriated to the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,82368228.94,4624896.10,79500000.00,0.00,0.00,1257856.45,1257856.45,167750981.49,91911901.24,16125368.57,75839080.25,72431226.74,167750981.49,2022-11-14
Department of the Treasury,Department of the Treasury,FY2022P12,011-1008,"Contribution to the North American Development Bank, Funds Appropriated to the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2022-11-15
Department of State,Department of State,FY2022P12,011-1022,"International Narcotics Control and Law Enforcement, International Security Assistance, State",Executive Office of the President,International Affairs,International development and humanitarian assistance,1375305073.99,338726504.78,1716004000.00,0.00,0.00,17932306.81,17932306.81,3447967885.58,2089596055.80,408320604.71,1358371829.78,1349276731.03,3447967885.58,2022-11-16
Department of State,Department of State,FY2022P12,011-1032,"Peacekeeping Operations, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,233675118.56,19637643.09,455000000.00,0.00,0.00,3972758.23,3972758.23,712285519.88,441173545.41,94536308.35,271111974.47,370432282.49,712285519.88,2022-11-16
Department of State,Department of Defense;Department of State,FY2022P12,011-1041,"Global Security Contingency Fund, State",Executive Office of the President,International Affairs,International security assistance,25955052.36,3304172.77,-28135000.00,0.00,0.00,0.00,0.00,1124225.13,312276.76,3304172.77,811948.37,2440663.74,1124225.13,2023-02-01
Executive Office of the President,Executive Office of the President,FY2022P12,011-1070,"High Intensity Drug Trafficking Areas Program, Funds Appropriated to the President",Executive Office of the President,Administration of Justice,Criminal justice assistance,2370449.16,10517415.02,275176458.00,0.00,0.00,0.00,0.00,288064322.18,268557529.58,11741058.64,19506792.60,250798437.21,288064322.18,2022-11-14
Department of State,Department of State,FY2022P12,011-1071,"Nonproliferation and Disarmament Fund, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,302.73,19951.46,0.00,0.00,0.00,0.00,0.00,20254.19,0.00,19951.46,20254.19,783.71,20254.19,2022-11-16
Department of State,Department of State,FY2022P12,011-1075,"Non-Proliferation, Anti-Terrorism, Demining and Related Programs, International Security Assistance, State",Executive Office of the President,International Affairs,International security assistance,1074254409.81,54132431.55,1006200000.00,0.00,0.00,45344705.44,45344705.44,2179931546.80,1199570647.53,129915644.14,980360899.27,803007432.11,2179931546.80,2022-11-16
Department of Defense,Department of Defense,FY2022P12,011-1081,"International Military Education and Training, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,88015166.18,26037419.31,112925000.00,0.00,0.00,-4855.30,-4855.30,226972730.19,136356698.32,30876073.74,90616031.87,115418814.71,226972730.19,2023-02-01
Department of Defense,Department of Defense;Department of State,FY2022P12,011-1082,"Foreign Military Financing Program, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,1693438494.15,1314516313.01,10672924000.00,0.00,0.00,0.00,0.00,13680878807.16,10337323901.69,1322431492.31,3343554905.47,6813686037.11,13680878807.16,2023-02-01
Department of State,Department of State,FY2022P12,011-1083,"Pakistan Counterinsurgency Capability Fund, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47618756.62,0.00,0.00,0.00,2022-11-16
Executive Office of the President,Executive Office of the President,FY2022P12,011-1453,"Council on Environmental Quality and Office of Environmental Quality, Executive",Executive Office of the President,General Government,Executive direction and management,1312812.67,-241716.06,66700000.00,0.00,0.00,0.00,0.00,67771096.61,4130779.20,195512.43,63640317.41,3858553.03,67771096.61,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-1454,"Salaries and Expenses, Special Assistance to the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,1697472.05,71900.04,4839000.00,0.00,0.00,2817558.42,2817558.42,9425930.51,6673009.06,275514.89,2752921.45,6635331.11,9425930.51,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-1457,"Salaries and Expenses, Office of National Drug Control Policy, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,2224861.63,186887.15,18952000.00,0.00,0.00,3055584.26,3055584.26,24419333.04,22747409.49,1097798.46,1671923.55,23511842.37,24419333.04,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-1460,"Other Federal Drug Control Programs, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,52952340.17,3677052.52,133617000.00,0.00,0.00,0.00,0.00,190246392.69,156046967.00,3677052.52,34199425.69,156951453.09,190246392.69,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-1461,"Counterdrug Technology Assessment Center, Office of National Drug Control Policy, Executive Office of the President",Executive Office of the President,Administration of Justice,Criminal justice assistance,69183.21,0.00,0.00,0.00,0.00,0.00,0.00,69183.21,0.00,0.00,69183.21,0.00,69183.21,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-1750,"General Fund Payment to the Trade Enforcement Trust Fund, Office of the U.S. Trade Representative, Executive Office of the President",Executive Office of the President,Commerce and Housing Credit,Other advancement of commerce,1026173.37,0.00,15000000.00,0.00,0.00,0.00,0.00,16026173.37,15000000.00,0.00,1026173.37,15000000.00,16026173.37,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-1751,"Intellectual Property Enforcement Coordinator, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,1310466.99,44667.24,1838000.00,0.00,0.00,0.00,0.00,3193134.23,689450.49,44667.24,2503683.74,672358.19,3193134.23,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-1800,"Salaries and Expenses, Office of the National Cyber Director, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,7434.85,45133.24,21000000.00,0.00,0.00,0.00,0.00,21052568.09,12886855.61,45133.24,8165712.48,3223517.18,21052568.09,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-1900,"Salaries and Expenses, Council of Economic Advisers, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,1450373.74,-20945.25,4120000.00,0.00,0.00,0.00,0.00,5549428.49,4060906.78,219370.73,1488521.71,3809040.98,5549428.49,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-2000,"Salaries and Expenses, National Security Council, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,4059006.32,583242.72,12500000.00,0.00,0.00,1032496.98,1032496.98,18174746.02,14385985.22,1206529.43,3788760.80,13690999.38,18174746.02,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-2600,"Office of Science and Technology Policy, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,3948955.77,-448671.94,6652000.00,0.00,0.00,461561.41,461561.41,10613845.24,6574442.97,338451.36,4039402.27,6340010.20,10613845.24,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-3963,"Office of Environmental Quality Management Fund, Council on Environmental Quality and Office of Environmental Quality, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,464456.53,18969.73,0.00,0.00,0.00,435934.35,435934.35,919360.61,724077.75,18969.73,195282.86,689668.11,919360.61,2022-11-14
Department of Defense,Department of Defense,FY2022P12,011-4116,"Special Defense Acquisition Fund, Funds Appropriated to the President",Executive Office of the President,International Affairs,International financial programs,424839400.21,307089660.13,0.00,0.00,0.00,127926629.81,127926629.81,859855690.15,439788317.05,255443973.53,420067373.10,215747124.53,859855690.15,2023-02-01
Department of Defense,Department of Defense,FY2022P12,011-4121,"Foreign Military Loan Liquidating Account, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,0.00,0.00,0.00,0.00,0.00,2438610.45,2438610.45,2438610.45,0.00,0.00,2438610.45,0.00,2438610.45,2023-02-01
Peace Corps,Peace Corps,FY2022P12,011-5395,"Host Country Resident Contractors Separation Liability Fund, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,0.00,0.00,4482000.00,0.00,0.00,0.00,0.00,4482000.00,4482000.00,0.00,0.00,2454858.05,4482000.00,2022-11-15
Executive Office of the President,Executive Office of the President,FY2022P12,011-5512,"Spectrum Relocation Fund, Executive Office of the President",Executive Office of the President,Commerce and Housing Credit,Other advancement of commerce,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-8240,"Gifts and Donations, the White House Conference on Drug Abuse and Control, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,35040.37,157.02,0.00,0.00,0.00,0.00,0.00,35197.39,2151.00,157.02,33046.39,2151.00,35197.39,2022-11-14
Department of Defense,Department of Defense,FY2022P12,011-8242,"Advances, Foreign Military Sales, Funds Appropriated to the President",Executive Office of the President,International Affairs,International financial programs,176266930442.30,-22998108.09,953234806.79,0.00,53271224812.54,0.00,53271224812.54,230468391953.54,39167791406.60,2414929018.56,191300600546.94,34768551601.90,230468391953.54,2023-02-01
Peace Corps,Peace Corps,FY2022P12,011-8245,"Gifts and Contributions, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,3242488.83,5531.41,223507.92,0.00,0.00,0.00,0.00,3471528.16,3778.77,5531.41,3467749.39,0.00,3471528.16,2022-11-15
Peace Corps,Peace Corps,FY2022P12,011-8246,"Advances from Foreign Governments, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2022-11-15
Peace Corps,Peace Corps,FY2022P12,011-8345,"Foreign Service National Separation Liability Trust Fund, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,330208.53,0.00,0.00,0.00,0.00,0.00,0.00,330208.53,60888.86,0.00,269319.67,41000.99,330208.53,2022-11-15
Executive Office of the President,Executive Office of the President,FY2022P12,011-8581,"Trade Enforcement Trust Fund, Office of the U.S. Trade Representative, Executive Office of the President",Executive Office of the President,Commerce and Housing Credit,Other advancement of commerce,38888208.71,130473.43,15000000.00,0.00,0.00,0.00,0.00,54018682.14,25790266.54,1156646.80,28228415.60,11586887.02,54018682.14,2022-11-14
Department of Agriculture,Department of Agriculture,FY2022P12,012-0013,"Expenses, Office of the Chief Information Officer, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,23837317.37,222569.11,96746000.00,0.00,0.00,96783866.07,96783866.07,217589752.55,205169310.70,1179063.62,12420441.85,159754120.68,217589752.55,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0014,"Expenses, Office of the Chief Financial Officer, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,745983.19,-25420.84,7068000.00,0.00,0.00,51837.27,51837.27,7840399.62,6789374.95,99514.89,1051024.67,5929852.01,7840399.62,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0015,"Healthy Foods Financing Initiative, Rural Business-Cooperative Service, Agriculture",Department of Agriculture,Community and Regional Development,Community development,3622348.00,4636402.00,5000000.00,0.00,0.00,0.00,0.00,13258750.00,10502229.00,1377652.00,2756521.00,2434246.59,13258750.00,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0017,"Emergency Watershed Protection Program, Natural Resources Conservation Programs, Agriculture",Department of Agriculture,Natural Resources and Environment,Water resources,0.00,0.00,300000000.00,0.00,0.00,0.00,0.00,300000000.00,202049491.47,0.00,97950508.53,2745177.78,300000000.00,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0113,"Expenses, Common Computing Environment, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,22104.29,9000.00,0.00,0.00,0.00,0.00,0.00,31104.29,9000.00,9000.00,22104.29,9000.00,31104.29,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0115,"Processing, Research and Marketing, Office of the Secretary, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,13446819248.92,-3349365816.16,10880208248.46,0.00,0.00,68983034.76,68983034.76,21046644715.98,10678010327.05,251638395.47,10368634388.93,10319846943.15,21046644715.98,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0117,"Agriculture Buildings and Facilities, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,161711537.56,1259189.88,34997000.00,0.00,0.00,3860126.01,3860126.01,201827853.45,150244069.98,1259189.88,51583783.47,54560590.14,201827853.45,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0123,"Office of the Chief Economist, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,2608063.96,-232291.40,27199000.00,0.00,0.00,1962102.13,1962102.13,31536874.69,29004293.51,349211.65,2532581.18,24563655.25,31536874.69,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0124,"Office of the Under Secretary for Research, Education and Economics, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,3073091.54,165007.89,3727000.00,0.00,0.00,5334709.37,5334709.37,12299808.80,9299036.79,236565.50,3000772.01,5950923.86,12299808.80,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0125,"Office of the Under Secretary for Marketing and Regulatory Programs, Cooperative State Research, Education, and Extension Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,350988.55,99005.77,1577000.00,0.00,0.00,213000.00,213000.00,2239994.32,1856681.30,101443.08,383313.02,1129957.05,2239994.32,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0126,"Office of the Under Secretary for Farm and Foreign Agricultural Services, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,255654.94,39714.53,1687000.00,0.00,0.00,0.00,0.00,1982369.47,1488552.33,46206.73,493817.14,1194294.02,1982369.47,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0127,"Office of the Under Secretary for Rural Development, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,246956.05,67671.14,1580000.00,0.00,0.00,0.00,0.00,1894627.19,1494581.53,72879.40,400045.66,807285.39,1894627.19,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0128,"Office of the Assistant Secretary for Natural Resources and Environment, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,289785.35,28685.04,1000000.00,0.00,0.00,0.00,0.00,1318470.39,985364.79,34364.90,333105.60,952260.27,1318470.39,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0129,"Office of the Under Secretary for Food, Nutrition and Consumer Services, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,426960.69,12264.99,1021630.00,0.00,0.00,0.00,0.00,1460855.68,1017819.68,17414.58,443036.00,733314.88,1460855.68,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0130,"Office of the Assistant Secretary for Civil Rights, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,460880.38,30360.77,1426000.00,0.00,0.00,0.00,0.00,1917241.15,737218.04,36931.79,1180023.11,708587.04,1917241.15,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0133,"Nonrecurring Expenses Fund, Office of the Chief Financial Officer, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,74584435.21,136341239.15,0.00,0.00,0.00,0.00,0.00,210925674.36,26227325.65,477928.47,184698348.71,37073516.25,210925674.36,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0136,"Office of Ethics, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,903037.14,-200521.48,4277000.00,0.00,0.00,709542.16,709542.16,5689057.82,5087557.79,79045.97,601500.03,4949950.16,5689057.82,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0137,"Rental Assistance Program, Rural Housing Service, Agriculture",Department of Agriculture,Income Security,Housing assistance,54926097.42,813288.00,1450000000.00,0.00,0.00,0.00,0.00,1505739385.42,1450062624.86,813288.00,55676760.56,1338290639.72,1505739385.42,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0170,"State Mediation Grants, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,2035074.66,43887.70,7000000.00,0.00,0.00,0.00,0.00,9078962.36,5166313.66,43887.78,3912648.70,4880365.58,9078962.36,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0171,"Emergency Forest Restoration Program, Farm Service Agency, Agriculture",Department of Agriculture,Community and Regional Development,Disaster relief and insurance,416544009.74,34021076.07,0.00,0.00,0.00,0.00,0.00,450565085.81,80794938.15,34021076.07,369770147.66,14810537.93,450565085.81,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0172,"Assistance for Socially Disadvantaged Farmers and Ranchers, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1959856819.98,0.00,0.00,0.00,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0176,"Office of the Under Secretary for Trade and Foreign Agricultural Affairs, Office of the Secretary, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,279473.30,22077.08,908000.00,0.00,0.00,0.00,0.00,1209550.38,644004.82,22077.08,565545.56,630840.57,1209550.38,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0177,"Office of Codex Alimentarius, Office of the Secretary, Agriculture",Department of Agriculture,Health,Consumer and occupational health and safety,1125219.01,1145743.36,4841000.00,0.00,0.00,0.00,0.00,7111962.37,5497816.45,1145743.36,1614145.92,4220306.71,7111962.37,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0180,"Farm Production and Conservation Business Center, Farm Production and Conservation Programs, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,16513603.78,3458356.96,298405000.00,0.00,0.00,12041392.93,12041392.93,330418353.67,303761339.57,3458356.96,26657014.10,315619662.84,330418353.67,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0215,"Payment to Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,0.00,0.00,2250000.00,0.00,0.00,0.00,0.00,2250000.00,2250000.00,0.00,0.00,2250000.00,2250000.00,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0403,"Salaries and Expenses, Rural Development, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,75903993.57,35180329.53,303114000.00,0.00,0.00,494546746.28,494546746.28,908745069.38,825576194.91,10826054.12,83168874.47,812648068.49,908745069.38,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0405,"Rural Development Disaster Assistance Fund, Rural Development, Agriculture",Department of Agriculture,Community and Regional Development,Disaster relief and insurance,11105414.77,-4000000.00,0.00,0.00,0.00,0.00,0.00,7105414.77,0.00,0.00,7105414.77,0.00,7105414.77,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0408,"Food Supply Chain and Agriculture Pandemic Response Program Account, Rural Development Administration, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,0.00,3600000000.00,-1000000000.00,0.00,0.00,0.00,0.00,2600000000.00,822123748.15,0.00,1777876251.85,24672703.32,2600000000.00,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0470,"Office of Safety, Security, and Protection, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,2881488.87,15679.22,23306000.00,0.00,0.00,2140775.06,2140775.06,28343943.15,20680813.42,15679.22,7663129.73,20093567.44,28343943.15,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0500,"Hazardous Materials Management, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,4944794.72,219498.23,7540000.00,0.00,0.00,0.00,0.00,12704292.95,7186749.45,219498.23,5517543.50,2912969.49,12704292.95,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0502,"Extension Activities, National Institute of Food and Agriculture, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,48873959.08,11483724.98,635874000.00,0.00,0.00,45622453.09,45622453.09,741854137.15,685715169.57,15745212.92,56138967.58,580377401.75,741854137.15,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0503,"Office of Budget and Program Analysis, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1549047.77,-991668.92,11337000.00,0.00,0.00,944251.00,944251.00,12838629.85,12183752.25,77157.99,654877.60,10886507.76,12838629.85,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0600,"Salaries and Expenses, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,117164445.07,-15740745.22,1168070000.00,0.00,0.00,303449277.32,303449277.32,1572942977.17,1441227960.15,27268641.38,131715017.02,1420627972.25,1572942977.17,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0601,"Outreach for Socially Disadvantaged Farmers, Office of the Secretary, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1014271.79,0.00,0.00,0.00,0.00,0.00,0.00,1014271.79,0.00,0.00,1014271.79,0.00,1014271.79,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0706,"Office of Hearings and Appeals Division, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,2272728.33,-341536.78,16023000.00,0.00,0.00,0.00,0.00,17954191.55,15673437.62,100284.89,2280753.93,15443298.24,17954191.55,2022-12-19
Department of Agriculture,Department of Agriculture,FY2022P12,012-0900,"Office of the Inspector General, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,15076617.35,932308.77,114630800.00,0.00,0.00,1789245.25,1789245.25,132428971.37,111424093.20,1793368.13,21004878.17,99128621.86,132428971.37,2022-12-19
