owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Executive Office of the President,Executive Office of the President,FY2020Q4,011-1751,"Intellectual Property Enforcement Coordinator, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,0.00,0.00,1300000.00,0.00,0.00,0.00,0.00,1300000.00,975511.26,0.00,324488.74,926542.06,1300000.00,2020-11-13
Executive Office of the President,Executive Office of the President,FY2020Q4,011-1900,"Salaries and Expenses, Council of Economic Advisers, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,903363.37,123022.97,4000000.00,0.00,0.00,0.00,0.00,5026386.34,4044107.16,160543.21,982279.18,3902414.73,5026386.34,2020-11-13
Executive Office of the President,Executive Office of the President,FY2020Q4,011-2000,"Salaries and Expenses, National Security Council, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,1444236.95,887735.63,11500000.00,0.00,0.00,690983.07,690983.07,14522955.65,11159659.75,1099598.97,3363295.90,9859529.78,14522955.65,2020-11-13
Executive Office of the President,Executive Office of the President,FY2020Q4,011-2600,"Office of Science and Technology Policy, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,3513378.52,138121.57,5544000.00,0.00,0.00,0.00,0.00,9195500.09,5386022.11,381628.03,3809477.98,4572263.86,9195500.09,2020-11-13
Executive Office of the President,Executive Office of the President,FY2020Q4,011-3963,"Office of Environmental Quality Management Fund, Council on Environmental Quality and Office of Environmental Quality, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,97404.85,29.50,0.00,0.00,0.00,795000.00,795000.00,892434.35,418659.82,29.50,473774.53,419997.37,892434.35,2020-11-13
Peace Corps,Peace Corps,FY2020P12,011-5395,"Host Country Resident Contractors Separation Liability Fund, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,0.00,18575.16,18550713.00,0.00,0.00,0.00,0.00,18569288.16,18349455.55,18575.16,219832.61,3146388.79,18569288.16,2020-11-10
Executive Office of the President,Executive Office of the President,FY2020Q4,011-5512,"Spectrum Relocation Fund, Executive Office of the President",Executive Office of the President,Commerce and Housing Credit,Other advancement of commerce,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2020-11-13
Executive Office of the President,Executive Office of the President,FY2020Q4,011-8240,"Gifts and Donations, the White House Conference on Drug Abuse and Control, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,48942.37,0.00,0.00,0.00,0.00,0.00,0.00,48942.37,12702.00,0.00,36240.37,3812.00,48942.37,2020-11-13
Peace Corps,Peace Corps,FY2020P12,011-8245,"Gifts and Contributions, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,2102220.28,125276.20,726916.15,0.00,0.00,0.00,0.00,2954412.63,647244.86,125276.20,2307167.77,784565.77,2954412.63,2020-11-10
Peace Corps,Peace Corps,FY2020P12,011-8246,"Advances from Foreign Governments, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2020-11-10
Peace Corps,Peace Corps,FY2020P12,011-8345,"Foreign Service National Separation Liability Trust Fund, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,842375.84,0.00,0.00,0.00,0.00,0.00,0.00,842375.84,218386.74,0.00,623989.10,424229.74,842375.84,2020-11-10
Executive Office of the President,Executive Office of the President,FY2020Q4,011-8581,"Trade Enforcement Trust Fund, Office of the U.S. Trade Representative, Executive Office of the President",Executive Office of the President,Commerce and Housing Credit,Other advancement of commerce,7006391.79,468841.45,55000000.00,0.00,0.00,0.00,0.00,62475233.24,17205083.09,468841.45,45270150.15,17388034.29,62475233.24,2020-11-13
Department of Agriculture,Department of Agriculture,FY2020P12,012-0013,"Expenses, Office of the Chief Information Officer, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,3726789.15,292456.91,65830000.00,0.00,0.00,43957230.95,43957230.95,113806477.01,109700104.57,696501.28,4106372.44,98807482.51,113806477.01,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0014,"Expenses, Office of the Chief Financial Officer, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,426128.16,78011.67,5928000.00,0.00,0.00,0.00,0.00,6432139.83,5847077.60,221261.12,585062.23,5682332.56,6432139.83,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0015,"Healthy Foods Financing Initiative, Rural Business-Cooperative Service, Agriculture",Department of Agriculture,Community and Regional Development,Community development,2000000.00,0.00,5000000.00,0.00,0.00,0.00,0.00,7000000.00,3741250.00,0.00,3258750.00,855512.30,7000000.00,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0113,"Expenses, Common Computing Environment, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,0.00,22104.29,0.00,0.00,0.00,0.00,0.00,22104.29,0.00,22104.29,22104.29,0.00,22104.29,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0115,"Processing, Research and Marketing, Office of the Secretary, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,4064609596.34,4026501.07,34060739000.00,0.00,0.00,61667647.57,61667647.57,38191042744.98,19895952365.63,7128680.09,18295090379.35,15895317064.90,38191042744.98,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0117,"Agriculture Buildings and Facilities, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,40807519.00,2693216.59,128167000.00,0.00,0.00,10091756.94,10091756.94,181759492.53,81202762.38,2693216.59,100556730.15,80027790.60,181759492.53,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0123,"Office of the Chief Economist, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1624339.70,163762.79,24913000.00,0.00,0.00,1476774.76,1476774.76,28177877.25,25783455.77,1042498.84,2394421.48,21771767.34,28177877.25,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0124,"Office of the Under Secretary for Research, Education and Economics, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1591179.02,-8185.42,1200000.00,0.00,0.00,4882960.56,4882960.56,7665954.16,5003295.09,53461.83,2662659.07,4091490.91,7665954.16,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0125,"Office of the Under Secretary for Marketing and Regulatory Programs, Cooperative State Research, Education, and Extension Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,296248.71,-13434.32,800000.00,0.00,0.00,50000.00,50000.00,1132814.39,774211.21,26967.75,358603.18,766993.40,1132814.39,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0126,"Office of the Under Secretary for Farm and Foreign Agricultural Services, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,343668.18,-24254.39,701000.00,0.00,0.00,0.00,0.00,1020413.79,690117.27,22450.81,330296.52,675028.00,1020413.79,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0127,"Office of the Under Secretary for Rural Development, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,74074.30,-28541.39,800000.00,0.00,0.00,0.00,0.00,845532.91,473194.96,15885.80,372337.95,425669.72,845532.91,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0128,"Office of the Assistant Secretary for Natural Resources and Environment, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,283936.50,-30414.55,736767.00,0.00,0.00,0.00,0.00,990288.95,710139.80,19478.63,280149.15,694411.36,990288.95,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0129,"Office of the Under Secretary for Food, Nutrition and Consumer Services, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,405638.93,-44699.40,800000.00,0.00,0.00,0.00,0.00,1160939.53,678132.33,20398.43,482807.20,643508.50,1160939.53,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0130,"Office of the Assistant Secretary for Civil Rights, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,449199.02,-53207.50,891000.00,0.00,0.00,0.00,0.00,1286991.52,815189.47,28023.57,471802.05,631921.82,1286991.52,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0133,"Nonrecurring Expenses Fund, Office of the Chief Financial Officer, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,0.00,107376049.74,0.00,0.00,0.00,0.00,0.00,107376049.74,75370000.00,0.00,32006049.74,0.00,107376049.74,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0136,"Office of Ethics, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1956583.99,-790467.76,3986000.00,0.00,0.00,686280.00,686280.00,5838396.23,4432735.83,64569.93,1405660.40,4458919.43,5838396.23,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0137,"Rental Assistance Program, Rural Housing Service, Agriculture",Department of Agriculture,Income Security,Housing assistance,51788603.03,1773060.08,1375000000.00,0.00,0.00,0.00,0.00,1428561663.11,1375001931.22,1773060.08,53559731.89,1154177567.31,1428561663.11,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0170,"State Mediation Grants, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,175592.83,-137979.91,5545000.00,0.00,0.00,0.00,0.00,5582612.92,5373161.99,2560.91,209450.93,4092560.13,5582612.92,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0171,"Emergency Forest Restoration Program, Farm Service Agency, Agriculture",Department of Agriculture,Community and Regional Development,Disaster relief and insurance,532599855.77,5270525.47,0.00,0.00,0.00,0.00,0.00,537870381.24,68059307.58,5270525.47,469811073.66,3449439.63,537870381.24,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0176,"Office of the Under Secretary for Trade and Foreign Agricultural Affairs, Office of the Secretary, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,154946.24,9486.71,875000.00,0.00,0.00,0.00,0.00,1039432.95,868733.86,9486.71,170699.09,769905.18,1039432.95,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0177,"Office of Codex Alimentarius, Office of the Secretary, Agriculture",Department of Agriculture,Health,Consumer and occupational health and safety,432678.92,67646.17,4775000.00,0.00,0.00,0.00,0.00,5275325.09,4382553.74,67646.17,892771.35,2778472.51,5275325.09,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0180,"Farm Production and Conservation Business Center, Farm Production and Conservation Programs, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,5241069.83,2465319.03,256539166.00,0.00,0.00,22200670.48,22200670.48,286446225.34,265973461.27,2465319.03,20472764.07,267714493.31,286446225.34,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0215,"Payment to Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,0.00,0.00,2250000.00,0.00,0.00,0.00,0.00,2250000.00,2250000.00,0.00,0.00,2250000.00,2250000.00,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0403,"Salaries and Expenses, Rural Development, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,30905629.89,7754984.80,266166000.00,0.00,0.00,487356180.97,487356180.97,792182795.66,747066187.75,11575288.08,45116607.91,746634844.07,792182795.66,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0405,"Rural Development Disaster Assistance Fund, Rural Development, Agriculture",Department of Agriculture,Community and Regional Development,Disaster relief and insurance,11105414.77,0.00,0.00,0.00,0.00,0.00,0.00,11105414.77,0.00,0.00,11105414.77,0.00,11105414.77,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0500,"Hazardous Materials Management, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,5513433.10,302324.83,4503000.00,0.00,0.00,0.00,0.00,10318757.93,7065030.85,302324.83,3253727.08,7076841.32,10318757.93,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0502,"Extension Activities, National Institute of Food and Agriculture, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,51001357.57,1601613.24,602778000.00,0.00,0.00,13936104.33,13936104.33,669317075.14,629406491.18,6602632.86,39910583.96,565586434.98,669317075.14,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0503,"Office of Budget and Program Analysis, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,4228646.73,-1633063.41,9525000.00,0.00,0.00,66064.00,66064.00,12186647.32,9574787.90,58791.23,2611859.42,9374739.35,12186647.32,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0600,"Salaries and Expenses, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,112134810.39,2115938.16,1133990987.00,0.00,0.00,308660026.74,308660026.74,1556901762.29,1453216869.73,23445622.67,103684892.56,1451413481.33,1556901762.29,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0601,"Outreach for Socially Disadvantaged Farmers, Office of the Secretary, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1014271.79,0.00,0.00,0.00,0.00,0.00,0.00,1014271.79,0.00,0.00,1014271.79,0.00,1014271.79,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0706,"Office of Hearings and Appeals Division, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1336195.33,165397.22,15222000.00,0.00,0.00,0.00,0.00,16723592.55,14743827.31,406019.74,1979765.24,14594657.28,16723592.55,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-0900,"Office of the Inspector General, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,17221933.14,85257.17,98958000.00,0.00,0.00,2842638.28,2842638.28,119107828.59,102792708.55,2688280.46,16315120.04,98794442.00,119107828.59,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-1000,"Conservation Operations, Natural Resources Conservation Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,243034698.55,-22048972.07,828561025.00,0.00,0.00,86430940.64,86430940.64,1135977692.12,905525572.57,41012763.78,230452119.55,841552945.84,1135977692.12,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-1002,"Watershed Rehabilitation Program, Natural Resources Conservation Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Water resources,69671879.13,13604360.85,10000000.00,0.00,0.00,6258634.53,6258634.53,99534874.51,34100832.09,18283467.53,65434042.42,28793241.77,99534874.51,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-1003,"Biomass Research and Development, National Institute of Food and Agriculture, Agriculture",Department of Agriculture,Energy,Energy supply,3139389.40,7612.01,0.00,0.00,0.00,0.00,0.00,3147001.41,0.00,7612.01,3147001.41,2477272.57,3147001.41,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-1004,"Farm Security and Rural Investment Programs, Natural Resources Conservation Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,4554758138.98,342518858.40,4805774169.00,0.00,0.00,17868536.13,17868536.13,9720919702.51,4816366428.17,342518858.40,4904553274.34,3212922353.25,9720919702.51,2021-04-15
Department of Agriculture,Department of Agriculture,FY2020P12,012-1010,"Resource Conservation and Development, Natural Resources Conservation Services, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,87788.00,0.00,0.00,0.00,0.00,0.00,0.00,87788.00,15359.07,0.00,72428.93,15359.07,87788.00,2021-04-15
