federal_agency,total_penalties_2017_to_2023
U.S. Attorney-Central District of California,"$2,606,695,670"
U.S. Attorney-Central District of Illinois,"$124,570,000"
U.S. Attorney-District of Alaska,"$12,115,000"
U.S. Attorney-District of Arizona,"$23,100,000"
U.S. Attorney-District of Colorado,"$855,700,975"
U.S. Attorney-District of Columbia,"$93,608,047"
U.S. Attorney-District of Connecticut,"$125,375,424"
U.S. Attorney-District of Delaware,"$20,229,600"
U.S. Attorney-District of Guam,"$1,875,407"
U.S. Attorney-District of Kansas,"$11,336,255"
U.S. Attorney-District of Maine,"$4,782,189"
U.S. Attorney-District of Maryland,"$64,976,444"
U.S. Attorney-District of Massachusetts,"$335,965,721"
U.S. Attorney-District of Minnesota,"$515,782,327"
U.S. Attorney-District of Montana,"$192,907,789"
U.S. Attorney-District of Nebraska,"$610,666"
U.S. Attorney-District of Nevada,"$9,281,368"
U.S. Attorney-District of New Hampshire,"$8,876,217"
U.S. Attorney-District of New Jersey,"$148,437,972"
U.S. Attorney-District of New Mexico,"$2,876,449"
U.S. Attorney-District of Oregon,"$7,625,000"
U.S. Attorney-District of Puerto Rico,"$10,790,717"
U.S. Attorney-District of Rhode Island,"$12,359,876"
U.S. Attorney-District of South Carolina,"$150,855,655"
U.S. Attorney-District of Utah,"$2,433,844"
U.S. Attorney-District of Vermont,"$3,697,537"
U.S. Attorney-District of Virgin Islands,"$250,000"
U.S. Attorney-District of Wyoming,"$9,072,591"
U.S. Attorney-Districts of Guam and the Northern Mariana Islands,"$1,500,000"
U.S. Attorney-Districts of New Jersey and Eastern Pennsylvania,"$1,100,000"
U.S. Attorney-Eastern District of California,"$207,819,923"
U.S. Attorney-Eastern District of Kentucky,"$31,909,532"
U.S. Attorney-Eastern District of Louisiana,"$4,146,693"
U.S. Attorney-Eastern District of Michigan,"$135,863,295"
U.S. Attorney-Eastern District of Missouri,"$21,029,077"
U.S. Attorney-Eastern District of New York,"$2,431,767,568"
U.S. Attorney-Eastern District of North Carolina,"$16,541,847"
U.S. Attorney-Eastern District of Pennsylvania,"$534,973,216"
U.S. Attorney-Eastern District of Tennessee,"$19,713,400"
U.S. Attorney-Eastern District of Texas,"$12,002,505"
U.S. Attorney-Eastern District of Virginia,"$135,578,338"
U.S. Attorney-Eastern District of Washington,"$174,208,164"
U.S. Attorney-Eastern District of Wisconsin,"$37,515,678"
U.S. Attorney-Massachusetts,"$75,000"
U.S. Attorney-Middle District of Alabama,"$1,515,000"
U.S. Attorney-Middle District of Florida,"$489,267,091"
U.S. Attorney-Middle District of Georgia,"$14,446,811"
U.S. Attorney-Middle District of Louisiana,"$4,475,000"
U.S. Attorney-Middle District of North Carolina,"$12,286,691"
U.S. Attorney-Middle District of Pennsylvania,"$21,525,005"
U.S. Attorney-Middle District of Tennessee,"$27,442,215"
U.S. Attorney-Northern District of Alabama,"$1,902,000"
U.S. Attorney-Northern District of California,"$71,364,250"
U.S. Attorney-Northern District of Florida,"$60,000"
U.S. Attorney-Northern District of Georgia,"$76,631,240"
U.S. Attorney-Northern District of Illinois,"$265,564,543"
U.S. Attorney-Northern District of Indiana,"$3,398,407"
U.S. Attorney-Northern District of Iowa,"$9,575,506"
U.S. Attorney-Northern District of Mississippi,"$3,450,000"
U.S. Attorney-Northern District of New York,"$81,729,656"
U.S. Attorney-Northern District of Ohio,"$1,109,111"
U.S. Attorney-Northern District of Oklahoma,"$1,390,000"
U.S. Attorney-Northern District of Texas,"$50,872,079"
U.S. Attorney-Northern District of West Virginia,"$2,470,175"
U.S. Attorney-Southern District of Alabama,"$8,120,331"
U.S. Attorney-Southern District of California,"$68,287,910"
U.S. Attorney-Southern District of Florida,"$339,740,929"
U.S. Attorney-Southern District of Georgia,"$50,337,708"
U.S. Attorney-Southern District of Illinois,"$6,386,924"
U.S. Attorney-Southern District of Iowa,"$2,069,061"
U.S. Attorney-Southern District of Mississippi,"$3,481,635"
U.S. Attorney-Southern District of New York,"$8,281,920,695"
U.S. Attorney-Southern District of Ohio,"$253,806,254"
U.S. Attorney-Southern District of Texas,"$159,388,347"
U.S. Attorney-Southern District of West Virginia,"$22,168,085"
U.S. Attorney-Western District of Kentucky,"$30,667,320"
U.S. Attorney-Western District of Louisiana,"$25,331,241"
U.S. Attorney-Western District of Michigan,"$22,386,310"
U.S. Attorney-Western District of Missouri,"$9,092,124"
U.S. Attorney-Western District of New York,"$18,560,200"
U.S. Attorney-Western District of North Carolina,"$18,518,409"
U.S. Attorney-Western District of Oklahoma,"$821,321,484"
U.S. Attorney-Western District of Pennsylvania,"$21,681,620"
U.S. Attorney-Western District of Tennessee,"$4,369,432"
U.S. Attorney-Western District of Texas,"$28,272,566"
U.S. Attorney-Western District of Virginia,"$1,449,044,582"
U.S. Attorney-Western District of Washington,"$24,015,220"
U.S. Attorney-Western District of Wisconsin,"$64,903,500"
U.S. Coast Guard referral to the Justice Department,"$56,075,000"
U.S. Fish and Wildlife Service referral to the Justice Department,"$1,003,000"
