"Company","Parent","Penalty","Year","Date","Agency","Market_cap","Ticker","price","price_at_time","Market_cap_at_time","Penalty_scaled"
"Ohio Edison Company","firstenergy",1133500000,2005,2005-03-18,"Justice Department Environment and Natural Resources Division",18689507377.0492,"FE",35.9599990844727,41.6800003051758,21662366324.0123,0.0523257700957414
"Symbol Technologies Inc.","zebra technologies",1.39e+08,2004,2004-06-03,"U.S. Attorney-Eastern District of New York",13117102459.0164,"ZBRA",254.169998168945,53.0200004577637,2736234738.13502,0.050799735147994
"Virginia Electric Power Co.","dominion energy",1219200000,2003,2003-04-21,"Justice Department Environment and Natural Resources Division",37138952459.0164,"D",44.1500015258789,29.3299999237061,24672376786.9177,0.0494155877453392
"Morgan Keegan & Company","raymond james financial",2e+08,2011,2011-06-22,"Securities and Exchange Commission",21303884426.2295,"RJF",112.529998779297,22.0066661834717,4166244362.08158,0.0480048654419478
"JPMorgan Chase & Co.","jpmorgan chase",5333600000,2012,2012-02-09,"Justice Department multiagency referral",495457747131.148,"JPM",170.5,38.2999992370605,111296371478.702,0.0479224967457331
"Wells Fargo & Company","wells fargo",5342200000,2012,2012-02-09,"Justice Department multiagency referral",180655509426.229,"WFC",49.4900016784668,30.6299991607666,111810020497.956,0.0477792596424544
"Eli Lilly and Company","eli lilly",1.415e+09,2009,2009-01-15,"Justice Department Civil Division",507926599180.328,"LLY",633.700012207031,37.4700012207031,30033154370.6783,0.0471145981715953
"Goldman Sachs Group Inc.","goldman sachs",2921088000,2020,2020-10-22,"Justice Department Criminal Division",124355557377.049,"GS",379.399993896484,202.910003662109,66507609406.1964,0.0439211095704764
"Nucor Corporation","nucor",9.8e+07,2000,2000-12-19,"Justice Department Environment and Natural Resources Division",42659974180.3279,"NUE",172.630004882812,9.640625,2382371557.37445,0.0411354810279901
"Jacobs Engineering Group","jacobs solutions",3.5e+07,2000,2000-03-15,"Justice Department Civil Division",17010715573.7705,"J",134.089996337891,6.734375,854325757.481876,0.0409679793608968
"Gambro Healthcare","baxter international",3.5e+08,2004,2004-12-02,"Justice Department Civil Division",19300350819.6721,"BAX",37.8800010681152,17.4741992950439,8903330706.90159,0.0393111310274806
"NetApp Inc.","netapp",1.28e+08,2009,2009-04-15,"Justice Department Civil Division",18613460245.9016,"NTAP",88.6900024414062,17.0900001525879,3586695565.29559,0.0356874447997515
"Bank of America","bank of america",2886578478,2013,2013-01-07,"Office of the Comptroller of the Currency",228235527459.016,"BAC",32.9799995422363,12.1099996566772,83806312842.1383,0.0344434491878589
"Citigroup Inc.","citigroup",2.202e+09,2012,2012-02-09,"Justice Department multiagency referral",102457683196.721,"C",53.2599983215332,34.2299995422363,65849165592.3393,0.0334400592656283
"PSEG Fossil LLC","public service enterprise",344400000,2002,2002-01-24,"Justice Department Environment and Natural Resources Division",28540282786.8852,"PEG",56.9799995422363,20.7150001525879,10375780397.2426,0.0331926840020173
"Morgan Stanley","morgan stanley",1.25e+09,2014,2014-02-07,"Federal Housing Finance Agency",111243387704.918,"MS",87.5699996948242,29.6900005340576,37716298411.3223,0.0331421706968135
"WellCare","centene",8e+07,2009,2009-05-05,"U.S. Attorney-Middle District of Florida",40529832377.0492,"CNC",75.4800033569336,4.625,2483445500.88886,0.0322133100852694
"Biogen Inc.","biogen",9e+08,2022,2022-09-26,"Justice Department Civil Division",35982625000,"BIIB",247.160003662109,197.779998779297,28793669781.2362,0.0312568702370303
"Equifax","equifax",5.25e+08,2019,2019-07-22,"Consumer Financial Protection Bureau",30538061475.4098,"EFX",247.419998168945,137.300003051758,16946390610.2914,0.0309800483225715
"Pfizer Inc.","pfizer",2.3e+09,2009,2009-09-02,"Justice Department Civil Division",158401241393.443,"PFE",28.3299999237061,15.5407972335815,86893102035.74,0.0264693047677592
"Wisconsin Public Service Corporation","wec energy group",307200000,2013,2013-01-04,"Environmental Protection Agency",25133371311.4754,"WEC",79.0599975585938,37.5699996948242,11943597035.9373,0.025720894557616
"Cinergy Corporation","duke energy",1.43e+09,2000,2000-12-22,"Justice Department Environment and Natural Resources Division",73237086885.2459,"DUK",94.5400009155273,73.2185974121094,56720083862.4678,0.0252115283092211
"Tesoro Corp.","marathon petroleum",425450000,2016,2016-07-18,"Environmental Protection Agency",72481548360.6557,"MPC",155.100006103516,36.5499992370605,17080595957.6482,0.0249083814788965
"Wells Fargo Bank","wells fargo",3.7e+09,2022,2022-12-20,"Consumer Financial Protection Bureau",180655509426.229,"WFC",49.4900016784668,41.8199996948242,152657367000.26,0.0242372842706876
"General Electric","general electric",1.5e+09,2019,2019-04-12,"Justice Department Civil Division",142141953688.525,"GE",129.929992675781,56.9555053710938,62308683622.9276,0.024073691061707
"Seagate Technology LLC","seagate technology",3e+08,2023,2023-04-19,"Bureau of Industry and Security",17319425819.6721,"STX",89.1699981689453,64.2699966430664,12483116094.5097,0.0240324609439421
"State Street Bank and Trust Company","state street corp.",313300000,2010,2010-02-04,"Securities and Exchange Commission",22902929508.1967,"STT",73.8399963378906,44.4000015258789,13771535150.9195,0.0227498239351392
"Prudential Equity Group LLC","prudential financial",6e+08,2006,2006-08-28,"Justice Department Criminal Division",38023154508.1967,"PRU",104.790000915527,72.8899993896484,26448207698.0715,0.0226858472547366
"Bank of New York Mellon","bank of new york mellon",7.14e+08,2015,2015-03-19,"U.S. Attorney-Southern District of New York",42446631147.541,"BK",54.9099998474121,40.8300018310547,31562484652.9276,0.0226217931779263
"Universal Health Services, Inc.","universal health services inc.",1.22e+08,2020,2020-07-10,"Justice Department Civil Division",9403947131.14754,"UHS",153.350006103516,88.6100006103516,5433868456.89595,0.0224517764770646
"Merck & Co., Inc.","merck",2.3e+09,2007,2007-02-24,"Internal Revenue Service",302795834426.229,"MRK",118.879997253418,40.9732818603516,104361872112.421,0.0220387000869664
"Discover Bank","discover financial services",2.14e+08,2012,2012-09-24,"Consumer Financial Protection Bureau",25480310655.7377,"DFS",101.220001220703,38.6199989318848,9721888544.17253,0.0220121840553578
"Humana","humana",14500000,2000,2000-06-07,"U.S. Attorney-Southern District of Florida",49795250409.8361,"HUM",402.399993896484,5.375,665132890.190155,0.021800154847033
"State Street Bank and Trust Company","state street corp.",382400000,2016,2016-07-26,"Securities and Exchange Commission",22902929508.1967,"STT",73.8399963378906,57.7900009155273,17924707243.8947,0.021333681760981
"General Motors","general motors",9e+08,2015,2015-09-17,"National Highway Traffic Safety Administration",47764997540.9836,"GM",34.7000007629395,31.2000007629395,42947202505.8897,0.0209559633104526
"Boeing Company","boeing",2513600000,2021,2021-01-07,"Justice Department Criminal Division",122166222131.148,"BA",214.130004882812,211.029998779297,120397595476.246,0.0208774933590423
"WellCare Health Plans Inc.","centene",137500000,2012,2012-04-03,"Justice Department Civil Division",40529832377.0492,"CNC",75.4800033569336,12.3599996566772,6636840116.40279,0.0207176905859419
"Northrop Grumman Space & Mission Systems Corporation","northrop grumman",111200000,2003,2003-06-09,"Justice Department Civil Division",66095644672.1311,"NOC",463.920013427734,38.5794486999512,5496493919.45427,0.0202310785074134
"Marathon Petroleum Company","marathon petroleum",334912500,2016,2016-06-09,"Environmental Protection Agency",72481548360.6557,"MPC",155.100006103516,36.8800010681152,17234812867.6123,0.0194323258727902
"Abbott Laboratories and CG Nutritionals","abbott laboratories",6e+08,2003,2003-10-27,"Justice Department Civil Division",193232471721.311,"ABT",110.769996643066,18.7461013793945,32701594424.9867,0.0183477292330906
"Wells Fargo & Company","wells fargo",3e+09,2020,2020-02-21,"Justice Department Civil Division",180655509426.229,"WFC",49.4900016784668,47.3400001525879,172807265179.88,0.0173603812135862
"Bio-Rad Laboratories Inc.","bio-rad laboratories",40700000,2014,2014-11-03,"Securities and Exchange Commission",6645286065.57377,"BIO",316.559997558594,112.819999694824,2368338317.1346,0.0171850447655815
"Amerigroup Corporation","elevance health",2.25e+08,2008,2008-08-14,"Justice Department Civil Division",111856697540.984,"ELV",473.670013427734,55.7299995422363,13160583372.4709,0.0170965065629728
"DaVita Rx LLC","davita inc.",63700000,2017,2017-12-14,"Justice Department Civil Division",5666127868.85246,"DVA",104.459999084473,71.3000030517578,3867460634.51651,0.0164707558834567
"Bank of America","bank of america",1.52e+09,2011,2011-01-03,"Fannie Mae",228235527459.016,"BAC",32.9799995422363,13.3400001525879,92318435821.3851,0.0164647503662308
"Amgen Inc.","amgen",7.62e+08,2012,2012-12-19,"Food and Drug Administration",164412253278.689,"AMGN",305.5,89.2900009155273,48053585092.5632,0.0158572976091627
"Wells Fargo","wells fargo",1991141181,2013,2013-01-07,"Office of the Comptroller of the Currency",180655509426.229,"WFC",49.4900016784668,34.939998626709,127542999336.9,0.0156115285931177
"McKesson Corporation","mckesson",1.9e+08,2012,2012-04-26,"Justice Department Civil Division",64868613934.4262,"MCK",485,91.379997253418,12222048996.208,0.0155456748748879
"Goldman Sachs Group Inc.","goldman sachs",1.006e+09,2020,2020-10-22,"Securities and Exchange Commission",124355557377.049,"GS",379.399993896484,202.910003662109,66507609406.1964,0.015126088713486
"JPMorgan Chase","jpmorgan chase",1958450341,2013,2013-01-07,"Office of the Comptroller of the Currency",495457747131.148,"JPM",170.5,45.3600006103516,131812103884.295,0.0148578945581442
"McAllen Hospitals L.P., d/b/a/ South Texas Health System","universal health services inc.",27500000,2009,2009-10-30,"Justice Department Civil Division",9403947131.14754,"UHS",153.350006103516,30.3600006103516,1861779127.99449,0.0147708176477535
"Bank of America","bank of america",1.3e+09,2011,2011-01-03,"Freddie Mac",228235527459.016,"BAC",32.9799995422363,13.3400001525879,92318435821.3851,0.014081694392171
"Symbol Technologies, Inc.","zebra technologies",3.7e+07,2004,2004-06-03,"Securities and Exchange Commission",13117102459.0164,"ZBRA",254.169998168945,53.0200004577637,2736234738.13502,0.0135222316580991
"Medco Health Solutions","cigna",1.55e+08,2006,2006-10-23,"Justice Department Civil Division",89567077868.8525,"CI",304.5,39.966667175293,11755985520.683,0.0131847729590428
"Boeing Company","boeing",6.15e+08,2006,2006-06-30,"Justice Department Civil Division",122166222131.148,"BA",214.130004882812,83,47353459140.0889,0.0129874355784781
"Northrop Grumman Corporation","northrop grumman",8e+07,2003,2003-08-20,"Justice Department Civil Division",66095644672.1311,"NOC",463.920013427734,43.4041404724121,6183877743.85314,0.0129368663666614
"United Rentals, Inc","united rentals",1.4e+07,2008,2008-09-08,"Securities and Exchange Commission",39297457786.8852,"URI",576.900024414062,15.9200000762939,1084443585.52556,0.0129098462906349
"Mylan Inc.","viatris",4.65e+08,2017,2017-08-17,"Justice Department Civil Division",14157920491.8033,"VTRS",11.7200002670288,30.4699993133545,36808175583.1852,0.0126330629712716
"Goldman Sachs & Co.","goldman sachs",5.5e+08,2010,2010-07-15,"Securities and Exchange Commission",124355557377.049,"GS",379.399993896484,139.059997558594,45579556624.7906,0.0120668132980665
"Valero Energy Corp.","valero energy",236250000,2007,2007-08-16,"Justice Department Environment and Natural Resources Division",44538954918.0328,"VLO",130.149993896484,57.9433288574219,19828931485.2682,0.0119144090126853
"FirstEnergy Corp.","firstenergy",2.3e+08,2021,2021-07-22,"U.S. Attorney-Southern District of Ohio",18689507377.0492,"FE",35.9599990844727,37.5400009155273,19510682477.9684,0.0117884138732572
"Merck, Sharp & Dohme","merck",9.5e+08,2011,2011-11-22,"Food and Drug Administration",302795834426.229,"MRK",118.879997253418,32.5763359069824,82974251694.1408,0.0114493349515448
"Facebook, Inc.","meta platforms inc.",5e+09,2019,2019-07-24,"Federal Trade Commission",871676470081.967,"META",390.700012207031,202.360000610352,451477976725.391,0.0110747373244326
"Franklin Advisers, Inc.","franklin resources",5e+07,2004,2004-08-02,"Securities and Exchange Commission",7616634016.39344,"BEN",26.8799991607666,16.0833320617676,4557323582.71088,0.0109713517358489
"Dey Inc.","viatris",2.8e+08,2010,2010-12-20,"Justice Department Civil Division",14157920491.8033,"VTRS",11.7200002670288,21.3999996185303,25851491998.3515,0.010831096325808
"SunTrust Mortgage, Inc.","truist financial",5.5e+08,2014,2014-06-17,"Consumer Financial Protection Bureau",50219881147.541,"TFC",37.5499992370605,38.2000007629395,51089202054.0284,0.0107654842488704
"Citigroup","citigroup",9.68e+08,2013,2013-07-01,"Fannie Mae",102457683196.721,"C",53.2599983215332,47.9700012207031,92281174294.1796,0.010489680126026
"Zimmer Inc.","zimmer biomet",169500000,2007,2007-09-27,"U.S. Attorney-District of New Jersey",25362334836.0656,"ZBH",120.519996643066,78.7766952514648,16577837519.8893,0.010224493984613
"Regions Bank","regions financial",1.91e+08,2022,2022-09-28,"Consumer Financial Protection Bureau",17996450819.6721,"RF",19.25,20.4099998474121,19080912129.0113,0.0100100036470268
"Wells Fargo Bank, N.A.","wells fargo",2.09e+09,2018,2018-08-01,"Justice Department Civil Division",180655509426.229,"WFC",49.4900016784668,57.2900009155273,209128186490.382,0.00999387043456297
"JPMorgan Chase Bank","jpmorgan chase",1.7e+09,2014,2014-01-07,"U.S. Attorney-Southern District of New York",495457747131.148,"JPM",170.5,59,171448721881.16,0.00991550115595706
"Johnson & Johnson","johnson & johnson",2.2e+09,2013,2013-11-04,"Food and Drug Administration",384633235245.902,"JNJ",158.960006713867,93.370002746582,225926048782.707,0.0097376996227466
"Citibank","citigroup",793492868,2013,2013-01-07,"Office of the Comptroller of the Currency",102457683196.721,"C",53.2599983215332,42.4300003051758,81623726367.0145,0.00972135068217939
"Albemarle Corporation","albemarle",196700000,2023,2023-09-29,"Justice Department Criminal Division",14372496721.3115,"ALB",121.690002441406,172.399993896484,20361724852.6593,0.00966028179947195
"Ralphs Grocery Company","kroger",7e+07,2006,2006-11-14,"U.S. Attorney-Central District of California",30307453688.5246,"KR",46.0999984741211,11.0349998474121,7254723598.65831,0.0096488858669882
"AIM Advisors, Inc. and AIM Distributors, Inc.","invesco",5e+07,2004,2004-10-08,"Securities and Exchange Commission",7219544672.13115,"IVZ",15.8199996948242,11.4799995422363,5238961512.64378,0.00954387618220316
"Countrywide Financial Corporation","bank of america",3.35e+08,2011,2011-12-21,"Justice Department Civil Rights Division",228235527459.016,"BAC",32.9799995422363,5.17000007629395,35778584316.3808,0.00936314296389375
"Northrop Grumman Corporation","northrop grumman",6.2e+07,2005,2005-03-01,"U.S. Attorney-Northern District of Illinois",66095644672.1311,"NOC",463.920013427734,47.7951507568359,6809474068.88895,0.00910496161271323
"General Dynamics","general dynamics",2e+08,2014,2014-01-23,"Justice Department Civil Division",59354991393.4426,"GD",261.179992675781,99.6500015258789,22646164135.0431,0.00883151772668275
"Morgan Stanley","morgan stanley",2.27e+08,2013,2013-01-16,"Federal Reserve",111243387704.918,"MS",87.5699996948242,20.4300003051758,25952979932.4025,0.00874658711990869
"Citicorp","citigroup",9.25e+08,2015,2015-05-20,"Justice Department Criminal Division",102457683196.721,"C",53.2599983215332,55.3300018310547,106439804309.723,0.00869035795395106
"Bristol-Myers Squibb Company","bristol-myers squibb",5.15e+08,2007,2007-09-28,"Justice Department Civil Division",102752828278.689,"BMY",50.2400016784668,29.0100002288818,59332393954.9278,0.00867991270318914
"SunTrust Mortgage Inc.","truist financial",4.18e+08,2014,2014-06-17,"Justice Department Civil Division",50219881147.541,"TFC",37.5499992370605,38.2000007629395,51089202054.0284,0.00818176802914151
"Mylan Laboratories, Inc.","viatris",1e+08,2000,2000-11-29,"Federal Trade Commission",14157920491.8033,"VTRS",11.7200002670288,10.25,12382140079.7437,0.00807614833590787
"Capital One Bank (U.S.A.), N.A.","capital one financial",1.65e+08,2012,2012-07-18,"Consumer Financial Protection Bureau",50187818032.7869,"COF",131.089996337891,55.8300018310547,21374521709.8403,0.00771947097763775
"McKesson Corporation","mckesson",1.5e+08,2017,2017-01-17,"Drug Enforcement Administration",64868613934.4262,"MCK",485,147.179992675781,19685282729.3957,0.00761990579774642
"Ameriprise Financial Services, Inc.","ameriprise financial",17300000,2009,2009-07-10,"Securities and Exchange Commission",39613978278.6885,"AMP",389.459991455078,22.5300006866455,2291642215.89256,0.0075491714544375
"PNC Bank N.A.","pnc financial services",180526382,2013,2013-01-07,"Office of the Comptroller of the Currency",60149581147.541,"PNC",150.229995727539,60.4799995422363,24215181679.6073,0.00745509095857948
"Goldman Sachs","goldman sachs",3.3e+08,2013,2013-01-16,"Federal Reserve",124355557377.049,"GS",379.399993896484,135.589996337891,44442197787.5701,0.00742537535108799
"Commonwealth Edison Company","exelon",2e+08,2020,2020-07-17,"U.S. Attorney-Northern District of Illinois",34182568852.459,"EXC",34.0800018310547,27.1469326019287,27228633889.1248,0.00734520875393166
"Ameriprise Financial, Inc.","ameriprise financial",3e+07,2005,2005-12-01,"Securities and Exchange Commission",39613978278.6885,"AMP",389.459991455078,42.0499992370605,4277121637.50695,0.00701406285407549
"Wells Fargo Bank, National Association","wells fargo",1.2e+09,2016,2016-04-08,"Justice Department Civil Division",180655509426.229,"WFC",49.4900016784668,46.9300003051758,171310624873.013,0.00700481946691585
"American Skandia Investment Services, Inc.","prudential financial",6.8e+07,2009,2009-04-17,"Securities and Exchange Commission",38023154508.1967,"PRU",104.790000915527,27.2000007629395,9869546928.10839,0.00688988060904159
"T-Mobile USA Inc.","t-mobile us",9e+07,2014,2014-12-19,"Federal Communications Commission",82858898770.4918,"TMUS",162,25.9099998474121,13252308978.3962,0.00679126936647172
"T-Mobile","t-mobile us",9e+07,2014,2014-12-19,"Federal Trade Commission",82858898770.4918,"TMUS",162,25.9099998474121,13252308978.3962,0.00679126936647172
"Legg Mason Inc.","franklin resources",64200000,2018,2018-06-04,"Justice Department Criminal Division",7616634016.39344,"BEN",26.8799991607666,34.1199989318848,9668138118.21897,0.00664036851925185
"Capital One, National Association","capital one financial",2.9e+08,2021,2021-01-15,"Treasury Department Financial Crimes Enforcement Network",50187818032.7869,"COF",131.089996337891,114.400001525879,43798051872.184,0.0066212990670523
"Bank of America, N.A.","bank of america",7.47e+08,2014,2014-04-09,"Consumer Financial Protection Bureau",228235527459.016,"BAC",32.9799995422363,16.4400005340576,113771747889.561,0.00656577765444122
"Morgan Stanley","morgan stanley",2.75e+08,2014,2014-07-24,"Securities and Exchange Commission",111243387704.918,"MS",87.5699996948242,33.3499984741211,42365728253.3296,0.00649109578278965
"Kentucky Utilities","ppl corp.",136400000,2009,2009-02-03,"Justice Department Environment and Natural Resources Division",18796384426.2295,"PPL",25.4400005340576,28.4728984832764,21037245848.4893,0.00648373845998452
"Citibank N.A.","citigroup",733800000,2015,2015-07-21,"Consumer Financial Protection Bureau",102457683196.721,"C",53.2599983215332,58.8499984741211,113211315993.437,0.00648168421646596
"Fifth Third Bancorp","fifth third bancorp",8.5e+07,2015,2015-10-06,"U.S. Attorney-Southern District of New York",23796997131.1475,"FITB",34.7000007629395,19.1299991607666,13119208217.2465,0.00647904954265905
"Sherwin-Williams Co.","sherwin-williams",8e+07,2013,2013-02-21,"Employee Benefits Security Administration",71267260655.7377,"SHW",301.059997558594,53.1100006103516,12572258977.0089,0.00636321604146855
"CUMMINS ENGINE CO., INC.","cummins",28120000,2006,2006-11-01,"Environmental Protection Agency",33629274590.1639,"CMI",235.800003051758,31.7450008392334,4527401765.35636,0.00621106794965139
"Bio-Rad Laboratories Inc.","bio-rad laboratories",14350000,2014,2014-11-03,"Justice Department Criminal Division",6645286065.57377,"BIO",316.559997558594,112.819999694824,2368338317.1346,0.00605910055002689
"SunTrust Mortgage Inc.","truist financial",3.2e+08,2014,2014-07-03,"Justice Department Civil Division",50219881147.541,"TFC",37.5499992370605,39.6500015258789,53028452851.8498,0.00603449625230462
"Bank of America N.A.","bank of america",3.7e+08,2012,2012-09-13,"Justice Department Civil Rights Division",228235527459.016,"BAC",32.9799995422363,8.97000026702881,62076190741.9364,0.00596041728040574
"TPI Petroleum Inc.","valero energy",13900000,2000,2000-04-21,"Justice Department Environment and Natural Resources Division",44538954918.0328,"VLO",130.149993896484,6.88414096832275,2355839098.08998,0.00590023317435793
"Mylan Pharmaceuticals and UDL Laboratories","viatris",1.18e+08,2009,2009-10-19,"Justice Department Civil Division",14157920491.8033,"VTRS",11.7200002670288,16.6700000762939,20137587909.6594,0.00585968888276826
"Merck & Company","merck",6.5e+08,2008,2008-02-07,"Justice Department Civil Division",302795834426.229,"MRK",118.879997253418,43.6164131164551,111094115994.324,0.00585089492978377
"PNC ICLC Corp.","pnc financial services",1.15e+08,2003,2003-06-02,"Justice Department Criminal Division",60149581147.541,"PNC",150.229995727539,49.25,19718877426.3764,0.00583197499093804
"Aquila Merchant Services","evergy inc.",26500000,2004,2004-01-28,"Commodity Futures Trading Commission",11432144672.1311,"EVRG",49.3499984741211,19.6599998474121,4554325622.27031,0.00581864411943164
"Bristol-Myers Squibb","bristol-myers squibb",3e+08,2005,2005-06-15,"U.S. Attorney-District of New Jersey",102752828278.689,"BMY",50.2400016784668,25.4599990844727,52071791928.7744,0.00576127666991661
"Wells Fargo Bank, National Association","wells fargo",8.69e+08,2013,2013-09-27,"Freddie Mac",180655509426.229,"WFC",49.4900016784668,41.6100006103516,151890798192.465,0.00572121557290696
"Regions Bank","regions financial",52400000,2016,2016-09-13,"Justice Department Civil Division",17996450819.6721,"RF",19.25,9.92000007629395,9274015246.96974,0.00565019558460631
"Franklin American Mortgage Company","citizens financial group",7e+07,2015,2015-12-02,"Justice Department Civil Division",15784095901.6393,"CFG",33.6800003051758,26.5,12419196484.6616,0.00563643550421751
"Alabama Power Company","southern company",2e+08,2006,2006-04-25,"Justice Department Environment and Natural Resources Division",74830377049.1803,"SO",68.1999969482422,32.3400001525879,35484083775.3303,0.00563632983357587
"ITT Corporation","l3harris technologies",5e+07,2007,2007-03-27,"Justice Department National Security Division",38899957377.0492,"LHX",204.25,47.9769439697266,9137336966.96911,0.00547205385778666
"Southern Indiana Gas and Electric Company, Inc.","centerpoint energy",33100000,2003,2003-06-06,"Justice Department Environment and Natural Resources Division",17246256147.541,"CNP",27.1399993896484,9.64999961853027,6132143293.57441,0.0053977864533407
"GAMBRO Healthcare","baxter international",53100000,2000,2000-07-13,"Justice Department Civil Division",19300350819.6721,"BAX",37.8800010681152,19.5376148223877,9954667624.57699,0.00533418111006558
"Morgan Stanley","morgan stanley",2.25e+08,2015,2015-12-10,"National Credit Union Administration",111243387704.918,"MS",87.5699996948242,33.3699989318848,42391135569.5912,0.00530771344000987
"U.S. Bancorp","u.s. bancorp",4.53e+08,2018,2018-02-15,"U.S. Attorney-Southern District of New York",66481224180.3279,"USB",42.4799995422363,55.310001373291,86560184565.3511,0.00523335298179724
"ZAO Hewlett-Packard A.O. and Hewlett-Packard Polska, Sp. Z o.o.  and Hewlett-Packard Mexico, S. de R.L. de C.V.","hp inc.",76760224,2014,2014-09-11,"Justice Department Criminal Division",25793542622.9508,"HPQ",29.5599994659424,16.8165302276611,14673812484.2347,0.00523110296539973
"Republic Services of Southern Nevada","republic services",3.7e+07,2008,2008-08-07,"Justice Department Environment and Natural Resources Division",34809443852.459,"RSG",169.339996337891,34.5200004577637,7095913804.81513,0.0052142685237936
"Elpida Memory Inc.","micron technology",8.4e+07,2006,2006-01-30,"Justice Department Antitrust Division",97028329098.3607,"MU",88.0800018310547,14.6999998092651,16193419500.3199,0.00518729228242005
"State Street Bank and Trust Company","state street corp.",88780000,2019,2019-06-27,"Securities and Exchange Commission",22902929508.1967,"STT",73.8399963378906,55.2400016784668,17133774745.671,0.00518157856735165
"Walgreens Boots Alliance Inc.","walgreens boots alliance",269200000,2019,2019-01-22,"U.S. Attorney-Southern District of New York",16178307786.8852,"WBA",22.3700008392334,72.4300003051758,52382422618.6967,0.00513912848131456
