"Company","Parent","Penalty","Year","Date","Agency"
"Campagna, LLC",NA,10000,2008,2008-03-25,"Alcohol and Tobacco Tax and Trade Bureau"
"Canandaigua Wine Co., Inc.","Constellation Brands",50000,2003,2003-09-11,"Alcohol and Tobacco Tax and Trade Bureau"
"Cana's Feast Winery, LLC",NA,10000,2008,2008-09-29,"Alcohol and Tobacco Tax and Trade Bureau"
"Cargill Incorporated","Cargill",63000,2011,2011-07-11,"Alcohol and Tobacco Tax and Trade Bureau"
"Carisam-Samuel Meisel (MD) Inc.",NA,75000,2011,2011-09-13,"Alcohol and Tobacco Tax and Trade Bureau"
"Carolina Corporation",NA,250000,2009,2009-04-27,"Alcohol and Tobacco Tax and Trade Bureau"
"Cedar Knoll Vineyards, Inc.",NA,15000,2012,2012-08-23,"Alcohol and Tobacco Tax and Trade Bureau"
"Cedar Mountain Winery",NA,10000,2003,2003-11-05,"Alcohol and Tobacco Tax and Trade Bureau"
"Central Coast Wine Co. dba The Henry Wine Group",NA,15000,2001,2001-03-31,"Alcohol and Tobacco Tax and Trade Bureau"
"Central Coast Wine Services",NA,25000,2008,2008-05-20,"Alcohol and Tobacco Tax and Trade Bureau"
"Charles Jacquin Et Cie, Incorporated",NA,50000,2006,2006-01-26,"Alcohol and Tobacco Tax and Trade Bureau"
"Clipper City Brewing Company. L.P.",NA,5000,2006,2006-11-21,"Alcohol and Tobacco Tax and Trade Bureau"
"CNS Enterprises, Inc. (Four Seasons Trading Co.)",NA,20000,2004,2004-05-24,"Alcohol and Tobacco Tax and Trade Bureau"
"Coach's Brewhouse, LLC",NA,6000,2009,2009-09-11,"Alcohol and Tobacco Tax and Trade Bureau"
"Cold Spring Brewing Company",NA,7000,2010,2010-01-07,"Alcohol and Tobacco Tax and Trade Bureau"
"Comeback Brewing, Inc.",NA,6287,2005,2005-12-07,"Alcohol and Tobacco Tax and Trade Bureau"
"Consolidated Rectifying, Inc.",NA,40000,2006,2006-09-01,"Alcohol and Tobacco Tax and Trade Bureau"
"Cordier Estates, Inc.",NA,10000,2004,2004-02-20,"Alcohol and Tobacco Tax and Trade Bureau"
"Craft Beer Guild, LLC",NA,750000,2016,2016-11-15,"Alcohol and Tobacco Tax and Trade Bureau"
"Cruzan International, Inc.",NA,425000,2007,2007-04-27,"Alcohol and Tobacco Tax and Trade Bureau"
"D. & J.F. Cellars, Inc.",NA,12000,2003,2003-12-08,"Alcohol and Tobacco Tax and Trade Bureau"
"Dave Streiffer Company, Inc.",NA,135000,2010,2010-06-02,"Alcohol and Tobacco Tax and Trade Bureau"
"David Raines  dba Vins de Taille",NA,8000,2002,2002-10-31,"Alcohol and Tobacco Tax and Trade Bureau"
"Delmonico's Winery, Inc.",NA,57000,2007,2007-03-20,"Alcohol and Tobacco Tax and Trade Bureau"
"Devalmont Vineyards, Inc. dba Gruet Winery",NA,7500,2010,2010-05-06,"Alcohol and Tobacco Tax and Trade Bureau"
"Diageo North America, Inc.","Diageo",650000,2011,2011-05-02,"Alcohol and Tobacco Tax and Trade Bureau"
"Diageo North America, Inc.","Diageo",1e+05,2008,2008-01-31,"Alcohol and Tobacco Tax and Trade Bureau"
"Diamondback Firearms LLC",NA,1600000,2015,2015-10-13,"Alcohol and Tobacco Tax and Trade Bureau"
"Distinctive Wines & Spirits, LLC",NA,110000,2008,2008-07-18,"Alcohol and Tobacco Tax and Trade Bureau"
"Distribution Technology Inc.",NA,8000,2002,2002-01-31,"Alcohol and Tobacco Tax and Trade Bureau"
"Distribution Technology, Incorporated",NA,8000,2002,2002-06-30,"Alcohol and Tobacco Tax and Trade Bureau"
"Dogfish Head Craft Brewery, Inc.",NA,10000,2008,2008-06-27,"Alcohol and Tobacco Tax and Trade Bureau"
"E. & J. Gallo Winery","E. & J. Gallo Winery",225000,2011,2011-05-02,"Alcohol and Tobacco Tax and Trade Bureau"
"Eagle Imports, Inc.",NA,510000,2009,2009-03-02,"Alcohol and Tobacco Tax and Trade Bureau"
"F&F Equipment",NA,3e+05,2007,2007-07-17,"Alcohol and Tobacco Tax and Trade Bureau"
"Farmers Tobacco Co. of Cynthiana, Inc.",NA,5e+06,2011,2011-04-06,"Alcohol and Tobacco Tax and Trade Bureau"
"Federal-Hoffman, Inc.(dba Federal Cartridge Co.)",NA,7500,2001,2001-08-01,"Alcohol and Tobacco Tax and Trade Bureau"
"Finck Cigar Company, LP",NA,20000,2014,2014-12-30,"Alcohol and Tobacco Tax and Trade Bureau"
"Fine Vines, LLC",NA,12000,2009,2009-01-08,"Alcohol and Tobacco Tax and Trade Bureau"
"Firefly Distillery LLC",NA,250000,2015,2015-02-12,"Alcohol and Tobacco Tax and Trade Bureau"
"Firefly Distillery, LLC",NA,10000,2011,2011-03-22,"Alcohol and Tobacco Tax and Trade Bureau"
"Florasynth, Inc.",NA,450000,2000,2000-02-28,"Alcohol and Tobacco Tax and Trade Bureau"
"Folio Wine Company, LLC",NA,5000,2010,2010-01-25,"Alcohol and Tobacco Tax and Trade Bureau"
"Frank-Lin Distillers Products, Ltd.",NA,15000,2005,2005-01-25,"Alcohol and Tobacco Tax and Trade Bureau"
"Free Spirit Social Club, Inc.",NA,20000,2016,2016-10-05,"Alcohol and Tobacco Tax and Trade Bureau"
"Future Brands LLC",NA,250000,2011,2011-05-02,"Alcohol and Tobacco Tax and Trade Bureau"
"Glacial Lakes Energy",NA,73541,2014,2014-05-08,"Alcohol and Tobacco Tax and Trade Bureau"
"Glazer's Distributors of Illinois, Inc.","Southern Glazer's Wine & Spirits",225000,2008,2008-07-18,"Alcohol and Tobacco Tax and Trade Bureau"
"Glazer's Wholesale Drug Co., Inc.",NA,35000,2004,2004-05-24,"Alcohol and Tobacco Tax and Trade Bureau"
"Global Tobacco LLC",NA,311881,2014,2014-11-12,"Alcohol and Tobacco Tax and Trade Bureau"
"Golden State Vintners",NA,70000,2000,2000-07-31,"Alcohol and Tobacco Tax and Trade Bureau"
"Greenfield Wine Company, dba Cartlidge & Brown Winery",NA,10000,2008,2008-09-26,"Alcohol and Tobacco Tax and Trade Bureau"
"Gun Smoke Enterprises, Inc.",NA,10000,2012,2012-07-09,"Alcohol and Tobacco Tax and Trade Bureau"
"H & R 1871, LLC",NA,125000,2009,2009-07-17,"Alcohol and Tobacco Tax and Trade Bureau"
"The Heritage Store, Inc.",NA,22500,2002,2002-06-30,"Alcohol and Tobacco Tax and Trade Bureau"
"Hornady Manufacturing Co.",NA,25000,2011,2011-05-04,"Alcohol and Tobacco Tax and Trade Bureau"
"Import Sports, Inc.",NA,50000,2009,2009-03-02,"Alcohol and Tobacco Tax and Trade Bureau"
"Intercontinental Terminals Company LLC",NA,5500,2010,2010-03-16,"Alcohol and Tobacco Tax and Trade Bureau"
"John Middleton Co.","Altria",315000,2010,2010-05-19,"Alcohol and Tobacco Tax and Trade Bureau"
"John Middleton, Inc.","Altria",24000,2005,2005-10-20,"Alcohol and Tobacco Tax and Trade Bureau"
"Johnson Brothers Liquor Company of Illinois",NA,40000,2009,2009-01-05,"Alcohol and Tobacco Tax and Trade Bureau"
"K Vintners, LLC",NA,17500,2011,2011-06-06,"Alcohol and Tobacco Tax and Trade Bureau"
"Ka Keoki Brewing Company, LLC",NA,5000,2007,2007-02-08,"Alcohol and Tobacco Tax and Trade Bureau"
"Kane Warehousing, Inc.",NA,30000,2007,2007-07-10,"Alcohol and Tobacco Tax and Trade Bureau"
"Kautz Vineyards, Inc.",NA,1e+05,2003,2003-02-18,"Alcohol and Tobacco Tax and Trade Bureau"
"Kent-Gamebore Corporation",NA,25000,2012,2012-03-26,"Alcohol and Tobacco Tax and Trade Bureau"
"Keystone Sporting Arms, Inc.",NA,4e+05,2009,2009-10-13,"Alcohol and Tobacco Tax and Trade Bureau"
"Lebanese Arak Corporation",NA,59000,2008,2008-05-16,"Alcohol and Tobacco Tax and Trade Bureau"
"Levecke Corporation",NA,15000,2007,2007-08-07,"Alcohol and Tobacco Tax and Trade Bureau"
"Louis Dreyfus Commodities Grand Junction LLC","Louis Dreyfus",14000,2017,2017-03-10,"Alcohol and Tobacco Tax and Trade Bureau"
"Lucas & Lewellen Vineyards, Inc.",NA,7000,2009,2009-06-01,"Alcohol and Tobacco Tax and Trade Bureau"
"LWRC International, LLC",NA,1e+06,2014,2014-03-18,"Alcohol and Tobacco Tax and Trade Bureau"
"Arizona Spirits LLC",NA,32000,2018,2018-08-28,"Alcohol and Tobacco Tax and Trade Bureau"
"Marine Industrial Specialties Inc.",NA,114412,2016,2016-02-29,"Alcohol and Tobacco Tax and Trade Bureau"
"Mariola International Co.",NA,5000,2016,2016-02-03,"Alcohol and Tobacco Tax and Trade Bureau"
"Mariola International Co.",NA,5000,2015,2015-06-23,"Alcohol and Tobacco Tax and Trade Bureau"
"Marlin Firearms Company","Sturm, Ruger & Company",26000,2009,2009-07-17,"Alcohol and Tobacco Tax and Trade Bureau"
"Matanzas Creek Winery",NA,5000,2003,2003-11-05,"Alcohol and Tobacco Tax and Trade Bureau"
"Matthews Estate LLC",NA,36500,2009,2009-07-31,"Alcohol and Tobacco Tax and Trade Bureau"
"McCormick Distilling Co.",NA,1e+06,2001,2001-04-30,"Alcohol and Tobacco Tax and Trade Bureau"
"McKenzie River Corporation",NA,2e+05,2007,2007-08-17,"Alcohol and Tobacco Tax and Trade Bureau"
"Miller Brewing Co.","Molson Coors Beverage",24500,2004,2004-03-08,"Alcohol and Tobacco Tax and Trade Bureau"
"Miller Brewing Co.","Molson Coors Beverage",24500,2004,2004-03-23,"Alcohol and Tobacco Tax and Trade Bureau"
"MillerCoors LLC","Molson Coors Beverage",450000,2015,2015-09-02,"Alcohol and Tobacco Tax and Trade Bureau"
"Moet Hennessy USA, Inc.","LVMH",275000,2011,2011-05-02,"Alcohol and Tobacco Tax and Trade Bureau"
"Montebello Brands, Inc.",NA,9000,2002,2002-10-31,"Alcohol and Tobacco Tax and Trade Bureau"
"Moonlight, Inc.",NA,6000,2015,2015-08-06,"Alcohol and Tobacco Tax and Trade Bureau"
"Mountain Valley Vineyards, Inc.",NA,12000,2014,2014-05-08,"Alcohol and Tobacco Tax and Trade Bureau"
"Nan Yang Trading Co. Inc.",NA,20000,2000,2000-07-31,"Alcohol and Tobacco Tax and Trade Bureau"
"Napa Smith Holdings, LLC",NA,26000,2013,2013-07-25,"Alcohol and Tobacco Tax and Trade Bureau"
"Native Wholesale Supply Company",NA,1200000,2011,2011-11-16,"Alcohol and Tobacco Tax and Trade Bureau"
"New Bedford Ship Supply Company, Inc.",NA,6e+05,2014,2014-11-20,"Alcohol and Tobacco Tax and Trade Bureau"
"New Mexico Wineries, Inc.",NA,33606,2014,2014-02-03,"Alcohol and Tobacco Tax and Trade Bureau"
"Nimbus Brewing Company, LLC",NA,5000,2010,2010-08-05,"Alcohol and Tobacco Tax and Trade Bureau"
"North American Arms",NA,1e+05,2010,2010-09-29,"Alcohol and Tobacco Tax and Trade Bureau"
"Olay LLC","Procter & Gamble",17500,2010,2010-04-15,"Alcohol and Tobacco Tax and Trade Bureau"
"Old Cuban Cigar Factory, Inc.",NA,15000,2012,2012-07-27,"Alcohol and Tobacco Tax and Trade Bureau"
"The Olde Heurich Brewing Company",NA,6000,2008,2008-11-25,"Alcohol and Tobacco Tax and Trade Bureau"
"Opolo Wines, LP",NA,15000,2010,2010-06-14,"Alcohol and Tobacco Tax and Trade Bureau"
"Opolo Wines, LP",NA,10000,2010,2010-06-14,"Alcohol and Tobacco Tax and Trade Bureau"
"Orvino Imports & Distributing, Inc.",NA,7500,2003,2003-11-05,"Alcohol and Tobacco Tax and Trade Bureau"
"O.T. Logistics, Inc. (dba Oregon Transfer Co.)",NA,13647,2004,2004-09-14,"Alcohol and Tobacco Tax and Trade Bureau"
"Pam's Sea Store",NA,36000,2008,2008-05-02,"Alcohol and Tobacco Tax and Trade Bureau"
"Parallel Products of Kentucky, Inc.",NA,45000,2005,2005-04-01,"Alcohol and Tobacco Tax and Trade Bureau"
"Paramount Distillery, Inc.",NA,35000,2005,2005-06-27,"Alcohol and Tobacco Tax and Trade Bureau"
"Paso Robles Wine Services",NA,10800,2012,2012-02-27,"Alcohol and Tobacco Tax and Trade Bureau"
"Patriot Tobacco Co.",NA,21585,2004,2004-03-23,"Alcohol and Tobacco Tax and Trade Bureau"
"Pernod Ricard USA, LLC","Pernod Ricard",3e+05,2011,2011-05-02,"Alcohol and Tobacco Tax and Trade Bureau"
"Pernod-Ricard USA, Inc.","Pernod Ricard",220000,2006,2006-11-21,"Alcohol and Tobacco Tax and Trade Bureau"
"Pharmco Products, Inc.",NA,475000,2008,2008-06-03,"Alcohol and Tobacco Tax and Trade Bureau"
"Pharmco Products, Inc.",NA,2e+05,2003,2003-09-11,"Alcohol and Tobacco Tax and Trade Bureau"
"Pittsburgh Brewing Co.",NA,8000,2004,2004-08-05,"Alcohol and Tobacco Tax and Trade Bureau"
"The Place to Shoot, Inc.",NA,47485,2007,2007-05-31,"Alcohol and Tobacco Tax and Trade Bureau"
"Plaza Provision Co.",NA,5260,2001,2001-04-30,"Alcohol and Tobacco Tax and Trade Bureau"
"Pugsley Brewing LLC",NA,87500,2011,2011-04-29,"Alcohol and Tobacco Tax and Trade Bureau"
"Pur Vine, LLC",NA,7500,2009,2009-11-03,"Alcohol and Tobacco Tax and Trade Bureau"
"PWG Vintners USA, Inc.",NA,1e+05,2003,2003-08-14,"Alcohol and Tobacco Tax and Trade Bureau"
"Pyramid Breweries, Inc.",NA,7e+05,2008,2008-09-25,"Alcohol and Tobacco Tax and Trade Bureau"
"Q4X, LLC",NA,19000,2010,2010-11-29,"Alcohol and Tobacco Tax and Trade Bureau"
"Regeneron Pharmaceuticals, Inc.","Regeneron Pharmaceuticals",506035,2014,2014-01-13,"Alcohol and Tobacco Tax and Trade Bureau"
"Republic Beverage Co.",NA,25000,2003,2003-08-14,"Alcohol and Tobacco Tax and Trade Bureau"
"Ridge Vineyards, Inc.",NA,25000,2003,2003-08-14,"Alcohol and Tobacco Tax and Trade Bureau"
"RME, Inc. (dba Robert Mondavi Winery)",NA,75000,2003,2003-08-14,"Alcohol and Tobacco Tax and Trade Bureau"
"Robert Talbott Inc. d/b/a Robert Talbott Vineyards & Winery",NA,20000,2010,2010-05-06,"Alcohol and Tobacco Tax and Trade Bureau"
"Robledo Family Winery, Inc.",NA,10000,2011,2011-02-09,"Alcohol and Tobacco Tax and Trade Bureau"
"Rope Corp. dba First Choice Marine Supply",NA,22102,2013,2013-04-18,"Alcohol and Tobacco Tax and Trade Bureau"
"Samuel Adams Brewery Company, Ltd.","Boston Beer Co.",2432160,2009,2009-02-02,"Alcohol and Tobacco Tax and Trade Bureau"
"Samuel Adams Brewery Company, Ltd.","Boston Beer Co.",75000,2009,2009-02-02,"Alcohol and Tobacco Tax and Trade Bureau"
"San Luis Spirits, Inc.",NA,21000,2009,2009-07-20,"Alcohol and Tobacco Tax and Trade Bureau"
"Sebastiani Vineyards",NA,60000,2003,2003-05-14,"Alcohol and Tobacco Tax and Trade Bureau"
"SGS Importers, Inc.",NA,190000,2009,2009-03-02,"Alcohol and Tobacco Tax and Trade Bureau"
"Shaw-Ross International Importers",NA,10000,2008,2008-01-24,"Alcohol and Tobacco Tax and Trade Bureau"
"Shipyard Brewing Company LLC",NA,87500,2011,2011-04-29,"Alcohol and Tobacco Tax and Trade Bureau"
"Southern Wine & Spirits of Illinois, Inc.","Southern Glazer's Wine & Spirits",225000,2008,2008-01-24,"Alcohol and Tobacco Tax and Trade Bureau"
"SPB LLC",NA,91333,2017,2017-05-11,"Alcohol and Tobacco Tax and Trade Bureau"
"Specialty Blends, Inc.",NA,144000,2011,2011-11-23,"Alcohol and Tobacco Tax and Trade Bureau"
"Spirits of the USA, LLC",NA,5000,2010,2010-01-07,"Alcohol and Tobacco Tax and Trade Bureau"
"Spoetzl Brewery, Inc.",NA,50000,2005,2005-02-23,"Alcohol and Tobacco Tax and Trade Bureau"
"SSC International, Inc.",NA,20000,2008,2008-01-15,"Alcohol and Tobacco Tax and Trade Bureau"
"Star Tobacco Inc",NA,60000,2002,2002-06-30,"Alcohol and Tobacco Tax and Trade Bureau"
"Stawski Distributing Company, Inc.",NA,50000,2011,2011-02-08,"Alcohol and Tobacco Tax and Trade Bureau"
"Stoller Wholesale Wine & Spirits, Inc.",NA,18000,2009,2009-01-08,"Alcohol and Tobacco Tax and Trade Bureau"
"The Stoney Creek Brewing Company",NA,22000,2006,2006-09-07,"Alcohol and Tobacco Tax and Trade Bureau"
"Stoney Marine International, Limited",NA,10000,2017,2017-04-10,"Alcohol and Tobacco Tax and Trade Bureau"
"Sweetwater Brewing Company",NA,20567,2012,2012-11-16,"Alcohol and Tobacco Tax and Trade Bureau"
"Temperance Distilling Company",NA,211259,2017,2017-06-09,"Alcohol and Tobacco Tax and Trade Bureau"
"Terressentia Corporation on behalf of Terressentia, LLC",NA,6385,2011,2011-09-26,"Alcohol and Tobacco Tax and Trade Bureau"
"Tiger Mountain Transport, Ltd.",NA,20000,2009,2009-01-06,"Alcohol and Tobacco Tax and Trade Bureau"
"Toad Hollow Vineyards, Inc.",NA,12500,2014,2014-06-06,"Alcohol and Tobacco Tax and Trade Bureau"
"Todhunter International, Inc.",NA,2e+05,2002,2002-10-31,"Alcohol and Tobacco Tax and Trade Bureau"
"Top Tobacco, LP",NA,275000,2010,2010-07-15,"Alcohol and Tobacco Tax and Trade Bureau"
"T.R. Metro Chemical, Incorporated",NA,50000,2002,2002-06-30,"Alcohol and Tobacco Tax and Trade Bureau"
"Transchemical Inc.",NA,50000,2017,2017-04-10,"Alcohol and Tobacco Tax and Trade Bureau"
"Triple E Investments Corp",NA,5030,2016,2016-09-27,"Alcohol and Tobacco Tax and Trade Bureau"
"Union Carbide Corporation (for World Ethanol Company)","Dow Inc.",135000,2006,2006-02-22,"Alcohol and Tobacco Tax and Trade Bureau"
"Union Carbide Corporation (for World Ethanol Company)","Dow Inc.",15000,2006,2006-02-22,"Alcohol and Tobacco Tax and Trade Bureau"
"Unipack, Inc.",NA,6250,2011,2011-09-27,"Alcohol and Tobacco Tax and Trade Bureau"
"United Beverage of NEPA, LLC",NA,25000,2010,2010-06-24,"Alcohol and Tobacco Tax and Trade Bureau"
"United Liquors, Ltd.",NA,225000,2008,2008-06-20,"Alcohol and Tobacco Tax and Trade Bureau"
"Univar USA, Inc.","Apollo Global Management",50000,2010,2010-10-07,"Alcohol and Tobacco Tax and Trade Bureau"
"U.S. Flue-Cured Tobacco Growers, Inc.",NA,20000,2011,2011-07-11,"Alcohol and Tobacco Tax and Trade Bureau"
"V. Suarez & Company, Inc",NA,5000,2001,2001-08-01,"Alcohol and Tobacco Tax and Trade Bureau"
"Valero Renewable Fuels Company","Valero Energy",35000,2016,2016-01-12,"Alcohol and Tobacco Tax and Trade Bureau"
"V.I. Technologies, Inc.",NA,50000,2003,2003-02-18,"Alcohol and Tobacco Tax and Trade Bureau"
"Vibo Corporation dba General Tobacco",NA,234415,2010,2010-01-12,"Alcohol and Tobacco Tax and Trade Bureau"
"Vidon Vineyard, LLC",NA,5000,2008,2008-09-23,"Alcohol and Tobacco Tax and Trade Bureau"
"Vin Divino, Ltd.",NA,30000,2008,2008-09-17,"Alcohol and Tobacco Tax and Trade Bureau"
"Vinifera Inc.",NA,250000,2001,2001-04-30,"Alcohol and Tobacco Tax and Trade Bureau"
"Viroment, Inc.",NA,5000,2001,2001-08-01,"Alcohol and Tobacco Tax and Trade Bureau"
"V.O.S. Selections, Inc.",NA,20000,2016,2016-07-26,"Alcohol and Tobacco Tax and Trade Bureau"
"Warwick Valley Wine Company, Inc.",NA,7500,2014,2014-12-30,"Alcohol and Tobacco Tax and Trade Bureau"
"Western Pioneer, Inc.",NA,1e+05,2017,2017-01-31,"Alcohol and Tobacco Tax and Trade Bureau"
"Willamette Valley Vineyards",NA,35000,2008,2008-05-16,"Alcohol and Tobacco Tax and Trade Bureau"
"Wine & Spirits of America, Inc.",NA,8000,2009,2009-02-18,"Alcohol and Tobacco Tax and Trade Bureau"
"Winebid.com, Inc.",NA,15000,2005,2005-04-01,"Alcohol and Tobacco Tax and Trade Bureau"
"Wirtz Corporation",NA,130000,2009,2009-01-05,"Alcohol and Tobacco Tax and Trade Bureau"
"World Ethanol Co.",NA,1e+05,2004,2004-04-15,"Alcohol and Tobacco Tax and Trade Bureau"
"Zarif Companies",NA,15000,2012,2012-02-03,"Alcohol and Tobacco Tax and Trade Bureau"
"Newman & Ullman Inc.",NA,25000,2017,2017-07-17,"Alcohol and Tobacco Tax and Trade Bureau"
"Railex LLC",NA,60000,2017,2017-08-25,"Alcohol and Tobacco Tax and Trade Bureau"
"Aldrich Chemical Company LLC","Merck KGaA (EMD)",22500,2017,2017-10-23,"Alcohol and Tobacco Tax and Trade Bureau"
"Citizen Cider LLC",NA,32000,2018,2018-03-07,"Alcohol and Tobacco Tax and Trade Bureau"
"Tracking Point Inc.",NA,506000,2018,2018-02-13,"Alcohol and Tobacco Tax and Trade Bureau"
"Don Francisco Cigars LLC",NA,14881,2018,2018-02-09,"Alcohol and Tobacco Tax and Trade Bureau"
"Margerum Wine Company Inc.",NA,5122,2018,2018-02-08,"Alcohol and Tobacco Tax and Trade Bureau"
"M&M Inc.",NA,425000,2018,2018-01-17,"Alcohol and Tobacco Tax and Trade Bureau"
"Skyscraper Brewing Company",NA,7000,2018,2018-03-08,"Alcohol and Tobacco Tax and Trade Bureau"
"Alexander Valley Cellars LLC",NA,25000,2018,2018-03-08,"Alcohol and Tobacco Tax and Trade Bureau"
"Warsteiner Importers Agency Inc.",NA,9e+05,2018,2018-04-30,"Alcohol and Tobacco Tax and Trade Bureau"
"Ohserase Manufacturing LLC",NA,225000,2018,2018-07-05,"Alcohol and Tobacco Tax and Trade Bureau"
"Aberdeen Energy, LLC",NA,10000,2018,2018-06-08,"Alcohol and Tobacco Tax and Trade Bureau"
"Sea Gear Marine Supply Inc.",NA,65000,2018,2018-06-06,"Alcohol and Tobacco Tax and Trade Bureau"
"CS&V Inc. (City Smokes and Vapor)",NA,6000,2018,2018-06-06,"Alcohol and Tobacco Tax and Trade Bureau"
"MGPI of Indiana LLC","MGP Ingredients",14625,2018,2018-06-04,"Alcohol and Tobacco Tax and Trade Bureau"
"MGPI Processing Inc.","MGP Ingredients",31500,2018,2018-06-04,"Alcohol and Tobacco Tax and Trade Bureau"
"Metro Wine Distribution Co., Inc.",NA,85000,2018,2018-05-25,"Alcohol and Tobacco Tax and Trade Bureau"
"Cigar City Brewing LLC",NA,20000,2018,2018-05-25,"Alcohol and Tobacco Tax and Trade Bureau"
"Verbatim, LLC",NA,15000,2018,2018-05-25,"Alcohol and Tobacco Tax and Trade Bureau"
"Farmers Tobacco Co. of Cynthiana Inc.",NA,1e+06,2018,2018-05-24,"Alcohol and Tobacco Tax and Trade Bureau"
"Indian River Beverage Corporation",NA,40000,2018,2018-05-22,"Alcohol and Tobacco Tax and Trade Bureau"
